Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Begin File	End File
8	Spectrogram 1	1	467.440654690	468.648279352	65.6	215.4	92.441	AU-BS02a_20150625_010000.wav	AU-BS02a_20150625_010000.wav
9	Waveform 1	1	547.939377787	549.484829188	57.5	165.6	172.939	AU-BS02a_20150625_010000.wav	AU-BS02a_20150625_010000.wav
9	Spectrogram 1	1	547.939377787	549.484829188	57.5	165.6	172.939	AU-BS02a_20150625_010000.wav	AU-BS02a_20150625_010000.wav
10	Waveform 1	1	629.515134191	630.818161843	60.2	184.5	29.515	AU-BS02a_20150625_010345.wav	AU-BS02a_20150625_010345.wav
10	Spectrogram 1	1	629.515134191	630.818161843	60.2	184.5	29.515	AU-BS02a_20150625_010345.wav	AU-BS02a_20150625_010345.wav
11	Waveform 1	1	675.242368818	676.606002407	79.1	203.4	75.242	AU-BS02a_20150625_010345.wav	AU-BS02a_20150625_010345.wav
11	Spectrogram 1	1	675.242368818	676.606002407	79.1	203.4	75.242	AU-BS02a_20150625_010345.wav	AU-BS02a_20150625_010345.wav
12	Waveform 1	1	834.969652272	836.484800705	52.1	181.8	9.970	AU-BS02a_20150625_011345.wav	AU-BS02a_20150625_011345.wav
12	Spectrogram 1	1	834.969652272	836.484800705	52.1	181.8	9.970	AU-BS02a_20150625_011345.wav	AU-BS02a_20150625_011345.wav
13	Waveform 1	1	879.363611210	880.363609175	76.4	149.4	54.364	AU-BS02a_20150625_011345.wav	AU-BS02a_20150625_011345.wav
13	Spectrogram 1	1	879.363611210	880.363609175	76.4	149.4	54.364	AU-BS02a_20150625_011345.wav	AU-BS02a_20150625_011345.wav
14	Waveform 1	1	903.727252937	904.999977620	57.5	173.7	78.727	AU-BS02a_20150625_011345.wav	AU-BS02a_20150625_011345.wav
14	Spectrogram 1	1	903.727252937	904.999977620	57.5	173.7	78.727	AU-BS02a_20150625_011345.wav	AU-BS02a_20150625_011345.wav
15	Waveform 1	1	940.272688062	941.302988996	73.7	179.1	115.273	AU-BS02a_20150625_011345.wav	AU-BS02a_20150625_011345.wav
15	Spectrogram 1	1	940.272688062	941.302988996	73.7	179.1	115.273	AU-BS02a_20150625_011345.wav	AU-BS02a_20150625_011345.wav
16	Waveform 1	1	973.727220385	975.030248037	76.4	165.6	148.727	AU-BS02a_20150625_011345.wav	AU-BS02a_20150625_011345.wav
16	Spectrogram 1	1	973.727220385	975.030248037	76.4	165.6	148.727	AU-BS02a_20150625_011345.wav	AU-BS02a_20150625_011345.wav
17	Waveform 1	1	1110.090853974	1111.121154908	65.6	168.3	1110.091		
17	Spectrogram 1	1	1110.090853974	1111.121154908	65.6	168.3	1110.091		
18	Waveform 1	1	1146.060587627	1146.909070749	71.0	179.1	1146.061		
18	Spectrogram 1	1	1146.060587627	1146.909070749	71.0	179.1	1146.061		
19	Waveform 1	1	1173.666647000	1175.060583558	57.5	165.6	1173.667		
19	Spectrogram 1	1	1173.666647000	1175.060583558	57.5	165.6	1173.667		
20	Waveform 1	1	1215.636313514	1216.999947103	46.7	184.5	1215.636		
20	Spectrogram 1	1	1215.636313514	1216.999947103	46.7	184.5	1215.636		
21	Waveform 1	1	1251.999985758	1253.484831222	57.5	189.9	1252.000		
21	Spectrogram 1	1	1251.999985758	1253.484831222	57.5	189.9	1252.000		
22	Waveform 1	1	1321.606014614	1323.121163046	62.9	154.8	1321.606		
22	Spectrogram 1	1	1321.606014614	1323.121163046	62.9	154.8	1321.606		
23	Waveform 1	1	1581.614450478	1583.671906903	71.3	166.3	1581.615		
23	Spectrogram 1	1	1581.614450478	1583.671906903	71.3	166.3	1581.615		
24	Waveform 1	1	1866.378090506	1868.240922675	46.4	198.0	1866.378		
24	Spectrogram 1	1	1866.378090506	1868.240922675	46.4	198.0	1866.378		
25	Waveform 1	1	1899.884101366	1901.357685022	69.0	209.3	1899.884		
25	Spectrogram 1	1	1899.884101366	1901.357685022	69.0	209.3	1899.884		
26	Waveform 1	1	1942.679304885	1944.069478145	60.0	193.5	1942.679		
26	Spectrogram 1	1	1942.679304885	1944.069478145	60.0	193.5	1942.679		
27	Waveform 1	1	1979.910980083	1981.301153344	69.0	184.4	1979.911		
27	Spectrogram 1	1	1979.910980083	1981.301153344	69.0	184.4	1979.911		
28	Waveform 1	1	2011.665372635	2012.555083521	55.4	152.7	2011.665		
28	Spectrogram 1	1	2011.665372635	2012.555083521	55.4	152.7	2011.665		
29	Waveform 1	1	2037.831268678	2039.277048869	48.7	209.3	2037.831		
29	Spectrogram 1	1	2037.831268678	2039.277048869	48.7	209.3	2037.831		
30	Waveform 1	1	2100.397571242	2101.954565294	64.5	182.1	2100.398		
30	Spectrogram 1	1	2100.397571242	2101.954565294	64.5	182.1	2100.398		
31	Waveform 1	1	2143.189939483	2144.663523139	75.8	193.5	2143.190		
31	Spectrogram 1	1	2143.189939483	2144.663523139	75.8	193.5	2143.190		
32	Waveform 1	1	2183.343813807	2184.567166276	69.0	170.8	2183.344		
32	Spectrogram 1	1	2183.343813807	2184.567166276	69.0	170.8	2183.344		
33	Waveform 1	1	2218.017570206	2219.129708814	69.0	207.0	2218.018		
33	Spectrogram 1	1	2218.017570206	2219.129708814	69.0	207.0	2218.018		
34	Waveform 1	1	2248.520806823	2249.660748896	69.0	195.7	2248.521		
34	Spectrogram 1	1	2248.520806823	2249.660748896	69.0	195.7	2248.521		
35	Waveform 1	1	2291.260403411	2292.233524694	75.8	179.9	2291.260		
35	Spectrogram 1	1	2291.260403411	2292.233524694	75.8	179.9	2291.260		
36	Waveform 1	1	2330.966587014	2331.939708296	62.2	157.3	2330.967		
36	Spectrogram 1	1	2330.966587014	2331.939708296	62.2	157.3	2330.967		
37	Waveform 1	1	2385.772887505	2386.857222648	57.7	164.0	2385.773		
37	Spectrogram 1	1	2385.772887505	2386.857222648	57.7	164.0	2385.773		
38	Waveform 1	1	2436.797916727	2437.993465731	55.4	161.8	2436.798		
38	Spectrogram 1	1	2436.797916727	2437.993465731	55.4	161.8	2436.798		
39	Waveform 1	1	2588.927686576	2591.040749933	73.5	218.3	2588.928		
39	Spectrogram 1	1	2588.927686576	2591.040749933	73.5	218.3	2588.928		
40	Waveform 1	1	2633.129708814	2635.353986031	71.3	191.2	2633.130		
40	Spectrogram 1	1	2633.129708814	2635.353986031	71.3	191.2	2633.130		
41	Waveform 1	1	2702.841501938	2704.259478664	64.5	177.6	2702.842		
41	Spectrogram 1	1	2702.841501938	2704.259478664	64.5	177.6	2702.842		
42	Waveform 1	1	2773.384563739	2774.635719674	69.0	218.3	2773.385		
42	Spectrogram 1	1	2773.384563739	2774.635719674	69.0	218.3	2773.385		
43	Waveform 1	1	2839.009247477	2840.065779155	71.3	198.0	2839.009		
43	Spectrogram 1	1	2839.009247477	2840.065779155	71.3	198.0	2839.009		
44	Waveform 1	1	2880.022193944	2881.301153344	60.0	204.8	2880.022		
44	Spectrogram 1	1	2880.022193944	2881.301153344	60.0	204.8	2880.022		
45	Waveform 1	1	2947.287282129	2948.482831133	44.1	170.8	2947.287		
45	Spectrogram 1	1	2947.287282129	2948.482831133	44.1	170.8	2947.287		
46	Waveform 1	1	2979.931385567	2981.293755362	64.5	200.2	2979.931		
46	Spectrogram 1	1	2979.931385567	2981.293755362	64.5	200.2	2979.931		
47	Waveform 1	1	3127.723814843	3129.475433152	69.0	152.7	3127.724		
47	Spectrogram 1	1	3127.723814843	3129.475433152	69.0	152.7	3127.724		
48	Waveform 1	1	3476.719130070	3478.109303330	71.3	184.4	3476.719		
48	Spectrogram 1	1	3476.719130070	3478.109303330	71.3	184.4	3476.719		
49	Waveform 1	1	3747.163985513	3748.581962239	73.5	241.0	3747.164		
49	Spectrogram 1	1	3747.163985513	3748.581962239	73.5	241.0	3747.164		
50	Waveform 1	1	3813.239073180	3814.239997927	91.6	182.1	3813.239		
50	Spectrogram 1	1	3813.239073180	3814.239997927	91.6	182.1	3813.239		
51	Waveform 1	1	3833.958264285	3834.931385567	105.2	186.7	3833.958		
51	Spectrogram 1	1	3833.958264285	3834.931385567	105.2	186.7	3833.958		
52	Waveform 1	1	3868.626472197	3870.239073180	80.3	213.8	3868.627		
52	Spectrogram 1	1	3868.626472197	3870.239073180	80.3	213.8	3868.627		
53	Waveform 1	1	3899.933235062	3901.128784067	80.3	195.7	3899.933		
53	Spectrogram 1	1	3899.933235062	3901.128784067	80.3	195.7	3899.933		
54	Waveform 1	1	3924.155662784	3925.128784067	78.1	168.6	3924.156		
54	Spectrogram 1	1	3924.155662784	3925.128784067	78.1	168.6	3924.156		
55	Waveform 1	1	3969.936934053	3971.104679592	55.4	170.8	3969.937		
55	Spectrogram 1	1	3969.936934053	3971.104679592	55.4	170.8	3969.937		
56	Waveform 1	1	3985.935084558	3987.408668214	69.0	184.4	3985.935		
56	Spectrogram 1	1	3985.935084558	3987.408668214	69.0	184.4	3985.935		
57	Waveform 1	1	4093.045373671	4094.352136536	71.3	173.1	4093.045		
57	Spectrogram 1	1	4093.045373671	4094.352136536	71.3	173.1	4093.045		
58	Waveform 1	1	4323.344738555	4324.345663302	55.4	166.3	4323.345		
58	Spectrogram 1	1	4323.344738555	4324.345663302	55.4	166.3	4323.345		
59	Waveform 1	1	4347.739535554	4349.074101884	50.9	179.9	4347.740		
59	Spectrogram 1	1	4347.739535554	4349.074101884	50.9	179.9	4347.740		
60	Waveform 1	1	4381.737686058	4382.988841993	80.3	193.5	4381.738		
60	Spectrogram 1	1	4381.737686058	4382.988841993	80.3	193.5	4381.738		
61	Waveform 1	1	4403.327107314	4403.994390479	73.5	161.8	4403.327		
61	Spectrogram 1	1	4403.327107314	4403.994390479	73.5	161.8	4403.327		
62	Waveform 1	1	4577.263177654	4578.180692006	89.4	170.8	4577.263		
62	Spectrogram 1	1	4577.263177654	4578.180692006	89.4	170.8	4577.263		
63	Waveform 1	1	4612.045373671	4613.046298419	93.9	188.9	4612.045		
63	Spectrogram 1	1	4612.045373671	4613.046298419	93.9	188.9	4612.045		
64	Waveform 1	1	4700.518957327	4701.297454353	64.5	159.5	4700.519		
64	Spectrogram 1	1	4700.518957327	4701.297454353	64.5	159.5	4700.519		
65	Waveform 1	1	4793.488379619	4794.461500901	103.0	193.5	4793.488		
65	Spectrogram 1	1	4793.488379619	4794.461500901	103.0	193.5	4793.488		
66	Waveform 1	1	4809.989766740	4810.879477627	71.3	148.2	4809.990		
66	Spectrogram 1	1	4809.989766740	4810.879477627	71.3	148.2	4809.990		
67	Waveform 1	1	4862.154738036	4863.211269715	62.2	211.6	4862.155		
67	Spectrogram 1	1	4862.154738036	4863.211269715	62.2	211.6	4862.155		
68	Waveform 1	1	5158.568091024	5159.708033098	69.0	236.4	5158.568		
68	Spectrogram 1	1	5158.568091024	5159.708033098	69.0	236.4	5158.568		
69	Waveform 1	1	5170.634794926	5171.496702348	69.0	218.3	5170.635		
69	Spectrogram 1	1	5170.634794926	5171.496702348	69.0	218.3	5170.635		
70	Waveform 1	1	5246.513408841	5247.291905867	91.6	191.2	5246.513		
70	Spectrogram 1	1	5246.513408841	5247.291905867	91.6	191.2	5246.513		
71	Waveform 1	1	5270.961038528	5272.295604858	64.5	186.7	5270.961		
71	Spectrogram 1	1	5270.961038528	5272.295604858	64.5	186.7	5270.961		
72	Waveform 1	1	5285.543986549	5286.461500901	91.6	227.4	5285.544		
72	Spectrogram 1	1	5285.543986549	5286.461500901	91.6	227.4	5285.544		
73	Waveform 1	1	5542.070402893	5542.932310315	69.0	170.8	5542.070		
73	Spectrogram 1	1	5542.070402893	5542.932310315	69.0	170.8	5542.070		
74	Waveform 1	1	5590.823870697	5591.657974653	78.1	213.8	5590.824		
74	Spectrogram 1	1	5590.823870697	5591.657974653	78.1	213.8	5590.824		
75	Waveform 1	1	5627.101905349	5628.353061284	112.0	202.5	5627.102		
75	Spectrogram 1	1	5627.101905349	5628.353061284	112.0	202.5	5627.102		
76	Waveform 1	1	5697.658899401	5698.493003357	78.1	184.4	5697.659		
76	Spectrogram 1	1	5697.658899401	5698.493003357	78.1	184.4	5697.659		
77	Waveform 1	1	5934.378090506	5935.601442975	60.0	148.2	5934.378		
77	Spectrogram 1	1	5934.378090506	5935.601442975	60.0	148.2	5934.378		
78	Waveform 1	1	5970.211269715	5971.768263766	82.6	184.4	5970.211		
78	Spectrogram 1	1	5970.211269715	5971.768263766	82.6	184.4	5970.211		
79	Waveform 1	1	6012.322483575	6013.434622184	89.4	186.7	6012.323		
79	Spectrogram 1	1	6012.322483575	6013.434622184	89.4	186.7	6012.323		
80	Waveform 1	1	6111.322483575	6112.601442975	55.4	166.3	6111.323		
80	Spectrogram 1	1	6111.322483575	6112.601442975	55.4	166.3	6111.323		
81	Waveform 1	1	6162.925837081	6164.010172224	105.2	227.4	6162.926		
81	Spectrogram 1	1	6162.925837081	6164.010172224	105.2	227.4	6162.926		
82	Waveform 1	1	6559.687627614	6561.049997409	80.3	202.5	6559.688		
82	Spectrogram 1	1	6559.687627614	6561.049997409	80.3	202.5	6559.688		
83	Waveform 1	1	6638.321558828	6639.211269715	69.0	168.6	6638.322		
83	Spectrogram 1	1	6638.321558828	6639.211269715	69.0	168.6	6638.322		
84	Waveform 1	1	6707.874853889	6708.792368241	69.0	152.7	6707.875		
84	Spectrogram 1	1	6707.874853889	6708.792368241	69.0	152.7	6707.875		
85	Waveform 1	1	6990.072252388	6991.712656836	66.8	173.1	6990.072		
85	Spectrogram 1	1	6990.072252388	6991.712656836	66.8	173.1	6990.072		
86	Waveform 1	1	7060.823870697	7062.241847423	57.7	170.8	7060.824		
86	Spectrogram 1	1	7060.823870697	7062.241847423	57.7	170.8	7060.824		
87	Waveform 1	1	7079.766414271	7081.239997927	62.2	170.8	7079.766		
87	Spectrogram 1	1	7079.766414271	7081.239997927	62.2	170.8	7079.766		
88	Waveform 1	1	7137.767339019	7139.074101884	71.3	193.5	7137.767		
88	Spectrogram 1	1	7137.767339019	7139.074101884	71.3	193.5	7137.767		
89	Waveform 1	1	7319.735836563	7320.542137054	105.2	195.7	7319.736		
89	Spectrogram 1	1	7319.735836563	7320.542137054	105.2	195.7	7319.736		
90	Waveform 1	1	7572.850749414	7573.740460301	73.5	175.4	7572.851		
90	Spectrogram 1	1	7572.850749414	7573.740460301	73.5	175.4	7572.851		
91	Waveform 1	1	7621.126009824	7622.210344967	71.3	136.9	7621.126		
91	Spectrogram 1	1	7621.126009824	7622.210344967	71.3	136.9	7621.126		
92	Waveform 1	1	7700.657974653	7701.436471679	48.7	132.4	7700.658		
92	Spectrogram 1	1	7700.657974653	7701.436471679	48.7	132.4	7700.658		
93	Waveform 1	1	7841.877628132	7843.295604858	35.1	132.4	7841.878		
93	Spectrogram 1	1	7841.877628132	7843.295604858	35.1	132.4	7841.878		
94	Waveform 1	1	8007.986992497	8009.043524176	66.8	150.5	8007.987		
94	Spectrogram 1	1	8007.986992497	8009.043524176	66.8	150.5	8007.987		
95	Waveform 1	1	8236.048147914	8237.438321175	64.5	188.9	8236.048		
95	Spectrogram 1	1	8236.048147914	8237.438321175	64.5	188.9	8236.048		
96	Waveform 1	1	8318.710807341	8319.795142484	64.5	139.2	8318.711		
96	Spectrogram 1	1	8318.710807341	8319.795142484	64.5	139.2	8318.711		
97	Waveform 1	1	8416.312311351	8417.368843029	75.8	157.3	8416.312		
97	Spectrogram 1	1	8416.312311351	8417.368843029	75.8	157.3	8416.312		
98	Waveform 1	1	8460.072252388	8461.184390997	64.5	139.2	8460.072		
98	Spectrogram 1	1	8460.072252388	8461.184390997	64.5	139.2	8460.072		
99	Waveform 1	1	8583.430923193	8585.488379619	48.7	168.6	8583.431		
99	Spectrogram 1	1	8583.430923193	8585.488379619	48.7	168.6	8583.431		
100	Waveform 1	1	8671.876703384	8673.600518228	53.2	229.7	8671.877		
100	Spectrogram 1	1	8671.876703384	8673.600518228	53.2	229.7	8671.877		
101	Waveform 1	1	8652.008322729	8653.898958364	32.8	202.5	8652.008		
101	Spectrogram 1	1	8652.008322729	8653.898958364	32.8	202.5	8652.008		
102	Waveform 1	1	8695.209420219	8696.822021202	39.6	125.6	8695.209		
102	Spectrogram 1	1	8695.209420219	8696.822021202	39.6	125.6	8695.209		
103	Waveform 1	1	8710.629246440	8712.075026631	93.9	184.4	8710.629		
103	Spectrogram 1	1	8710.629246440	8712.075026631	93.9	184.4	8710.629		
104	Waveform 1	1	8733.822945949	8735.546760792	44.1	177.6	8733.823		
104	Spectrogram 1	1	8733.822945949	8735.546760792	44.1	177.6	8733.823		
105	Waveform 1	1	8762.655200410	8763.989766740	69.0	186.7	8762.655		
105	Spectrogram 1	1	8762.655200410	8763.989766740	69.0	186.7	8762.655		
106	Waveform 1	1	8795.602367723	8797.214968705	39.6	175.4	8795.602		
106	Spectrogram 1	1	8795.602367723	8797.214968705	39.6	175.4	8795.602		
107	Waveform 1	1	8821.876703384	8823.795142484	57.7	175.4	8821.877		
107	Spectrogram 1	1	8821.876703384	8823.795142484	57.7	175.4	8821.877		
108	Waveform 1	1	8854.682079128	8856.711732088	73.5	220.6	8854.682		
108	Spectrogram 1	1	8854.682079128	8856.711732088	73.5	220.6	8854.682		
109	Waveform 1	1	8887.570865267	8888.988841993	80.3	186.7	8887.571		
109	Spectrogram 1	1	8887.570865267	8888.988841993	80.3	186.7	8887.571		
110	Waveform 1	1	8930.154738036	8931.961963275	96.2	229.7	8930.155		
110	Spectrogram 1	1	8930.154738036	8931.961963275	96.2	229.7	8930.155		
111	Waveform 1	1	8949.464275144	8951.021269196	71.3	202.5	8949.464		
111	Spectrogram 1	1	8949.464275144	8951.021269196	71.3	202.5	8949.464		
112	Waveform 1	1	8974.156587532	8975.936009305	44.1	159.5	8974.157		
112	Spectrogram 1	1	8974.156587532	8975.936009305	44.1	159.5	8974.157		
113	Waveform 1	1	8991.656125158	8992.879477627	37.3	150.5	8991.656		
113	Spectrogram 1	1	8991.656125158	8992.879477627	37.3	150.5	8991.656		
114	Waveform 1	1	9009.906356345	9011.352136536	82.6	157.3	9009.906		
114	Spectrogram 1	1	9009.906356345	9011.352136536	82.6	157.3	9009.906		
115	Waveform 1	1	9056.210344967	9057.711732088	53.2	148.2	9056.210		
115	Spectrogram 1	1	9056.210344967	9057.711732088	53.2	148.2	9056.210		
116	Waveform 1	1	9098.182541502	9100.184390997	39.6	177.6	9098.183		
116	Spectrogram 1	1	9098.182541502	9100.184390997	39.6	177.6	9098.183		
117	Waveform 1	1	9125.157512279	9127.242772170	53.2	222.9	9125.158		
117	Spectrogram 1	1	9125.157512279	9127.242772170	53.2	222.9	9125.158		
118	Waveform 1	1	9171.350287041	9173.407743466	64.5	177.6	9171.350		
118	Spectrogram 1	1	9171.350287041	9173.407743466	64.5	177.6	9171.350		
119	Waveform 1	1	9195.350287041	9197.046298419	46.4	175.4	9195.350		
119	Spectrogram 1	1	9195.350287041	9197.046298419	46.4	175.4	9195.350		
120	Waveform 1	1	9281.074101884	9282.603292471	48.7	175.4	9281.074		
120	Spectrogram 1	1	9281.074101884	9282.603292471	48.7	175.4	9281.074		
121	Waveform 1	1	9412.654275663	9414.016645458	60.0	139.2	9412.654		
121	Spectrogram 1	1	9412.654275663	9414.016645458	60.0	139.2	9412.654		
122	Waveform 1	1	9423.859072143	9425.332655800	37.3	116.5	9423.859		
122	Spectrogram 1	1	9423.859072143	9425.332655800	37.3	116.5	9423.859		
123	Waveform 1	1	9461.488379619	9463.239997927	46.4	148.2	9461.488		
123	Spectrogram 1	1	9461.488379619	9463.239997927	46.4	148.2	9461.488		
124	Waveform 1	1	9492.711732088	9494.240922675	41.9	164.0	9492.712		
124	Spectrogram 1	1	9492.711732088	9494.240922675	41.9	164.0	9492.712		
125	Waveform 1	1	9553.462425649	9555.047223166	64.5	161.8	9553.462		
125	Spectrogram 1	1	9553.462425649	9555.047223166	64.5	161.8	9553.462		
126	Waveform 1	1	9599.961038528	9601.434622184	78.1	175.4	9599.961		
126	Spectrogram 1	1	9599.961038528	9601.434622184	78.1	175.4	9599.961		
127	Waveform 1	1	9696.069478145	9698.238148432	37.3	193.5	9696.070		
127	Spectrogram 1	1	9696.069478145	9698.238148432	37.3	193.5	9696.070		
128	Waveform 1	1	9728.541212306	9729.514333589	37.3	127.8	9728.541		
128	Spectrogram 1	1	9728.541212306	9729.514333589	37.3	127.8	9728.541		
129	Waveform 1	1	9830.015720710	9830.766414271	78.1	145.9	9830.016		
129	Spectrogram 1	1	9830.015720710	9830.766414271	78.1	145.9	9830.016		
130	Waveform 1	1	9879.878552880	9881.324333071	44.1	191.2	9879.879		
130	Spectrogram 1	1	9879.878552880	9881.324333071	44.1	191.2	9879.879		
131	Waveform 1	1	9912.906356345	9914.518957327	44.1	186.7	9912.906		
131	Spectrogram 1	1	9912.906356345	9914.518957327	44.1	186.7	9912.906		
132	Waveform 1	1	9982.709882593	9983.655200410	69.0	150.5	9982.710		
132	Spectrogram 1	1	9982.709882593	9983.655200410	69.0	150.5	9982.710		
133	Waveform 1	1	10037.210344967	10038.461500901	50.9	148.2	10037.210		
133	Spectrogram 1	1	10037.210344967	10038.461500901	50.9	148.2	10037.210		
134	Waveform 1	1	10086.822945949	10088.379940001	32.8	193.5	10086.823		
134	Spectrogram 1	1	10086.822945949	10088.379940001	32.8	193.5	10086.823		
135	Waveform 1	1	10211.652426167	10213.292830615	53.2	213.8	10211.652		
135	Spectrogram 1	1	10211.652426167	10213.292830615	53.2	213.8	10211.652		
136	Waveform 1	1	10241.402194980	10243.320634080	30.6	168.6	10241.402		
136	Spectrogram 1	1	10241.402194980	10243.320634080	30.6	168.6	10241.402		
137	Waveform 1	1	10364.207570724	10366.042599428	44.1	166.3	10364.208		
137	Spectrogram 1	1	10364.207570724	10366.042599428	44.1	166.3	10364.208		
138	Waveform 1	1	10397.627396945	10399.212194462	48.7	159.5	10397.627		
138	Spectrogram 1	1	10397.627396945	10399.212194462	48.7	159.5	10397.627		
139	Waveform 1	1	10427.290981119	10429.070402893	48.7	179.9	10427.291		
139	Spectrogram 1	1	10427.290981119	10429.070402893	48.7	179.9	10427.291		
140	Waveform 1	1	10505.685778118	10507.353986031	44.1	182.1	10505.686		
140	Spectrogram 1	1	10505.685778118	10507.353986031	44.1	182.1	10505.686		
141	Waveform 1	1	10557.489304367	10559.518957327	48.7	209.3	10557.489		
141	Spectrogram 1	1	10557.489304367	10559.518957327	48.7	209.3	10557.489		
142	Waveform 1	1	10636.012021720	10637.819246959	30.6	155.0	10636.012		
142	Spectrogram 1	1	10636.012021720	10637.819246959	30.6	155.0	10636.012		
143	Waveform 1	1	10660.014795963	10661.933235062	44.1	148.2	10660.015		
143	Spectrogram 1	1	10660.014795963	10661.933235062	44.1	148.2	10660.015		
144	Waveform 1	1	10807.651501420	10809.236298937	39.6	175.4	10807.652		
144	Spectrogram 1	1	10807.651501420	10809.236298937	39.6	175.4	10807.652		
145	Waveform 1	1	10876.095432115	10877.708033098	50.9	184.4	10876.096		
145	Spectrogram 1	1	10876.095432115	10877.708033098	50.9	184.4	10876.096		
146	Waveform 1	1	11052.375316263	11054.043524176	41.9	179.9	11052.375		
146	Spectrogram 1	1	11052.375316263	11054.043524176	41.9	179.9	11052.375		
147	Waveform 1	1	11092.960113780	11094.378090506	96.2	241.0	11092.960		
147	Spectrogram 1	1	11092.960113780	11094.378090506	96.2	241.0	11092.960		
148	Waveform 1	1	11155.373466767	11156.902657354	103.0	170.8	11155.374		
148	Spectrogram 1	1	11155.373466767	11156.902657354	103.0	170.8	11155.374		
149	Waveform 1	1	11188.126009824	11189.404969223	53.2	143.7	11188.126		
149	Spectrogram 1	1	11188.126009824	11189.404969223	53.2	143.7	11188.126		
150	Waveform 1	1	11241.236298937	11242.459651406	57.7	136.9	11241.236		
150	Spectrogram 1	1	11241.236298937	11242.459651406	57.7	136.9	11241.236		
151	Waveform 1	1	11265.681154380	11267.210344967	57.7	216.1	11265.681		
151	Spectrogram 1	1	11265.681154380	11267.210344967	57.7	216.1	11265.681		
152	Waveform 1	1	11311.987917245	11313.489304367	44.1	157.3	11311.988		
152	Spectrogram 1	1	11311.987917245	11313.489304367	44.1	157.3	11311.988		
153	Waveform 1	1	11360.738610806	11362.518032580	53.2	179.9	11360.739		
153	Spectrogram 1	1	11360.738610806	11362.518032580	53.2	179.9	11360.739		
155	Waveform 1	1	11454.430923193	11455.848899919	44.1	166.3	11454.431		
155	Spectrogram 1	1	11454.430923193	11455.848899919	44.1	166.3	11454.431		
156	Waveform 1	1	11611.126009824	11612.627396945	62.2	179.9	11611.126		
156	Spectrogram 1	1	11611.126009824	11612.627396945	62.2	179.9	11611.126		
157	Waveform 1	1	11648.680229632	11649.959189032	55.4	284.0	11648.680		
157	Spectrogram 1	1	11648.680229632	11649.959189032	55.4	284.0	11648.680		
158	Waveform 1	1	11701.987917245	11703.878552880	39.6	195.7	11701.988		
158	Spectrogram 1	1	11701.987917245	11703.878552880	39.6	195.7	11701.988		
159	Waveform 1	1	11738.624622702	11740.376241010	41.9	177.6	11738.625		
159	Spectrogram 1	1	11738.624622702	11740.376241010	41.9	177.6	11738.625		
160	Waveform 1	1	11802.875778637	11804.599593480	55.4	170.8	11802.876		
160	Spectrogram 1	1	11802.875778637	11804.599593480	55.4	170.8	11802.876		
161	Waveform 1	1	11857.570865267	11859.072252388	39.6	157.3	11857.571		
161	Spectrogram 1	1	11857.570865267	11859.072252388	39.6	157.3	11857.571		
162	Waveform 1	1	11882.460576154	11884.073177136	35.1	141.4	11882.461		
