Selection	View	Chanel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	action
34	Waveform 1	1	396.0349121	396.5622559	65	700	n
34	Spectrogram 1	1	396.0349121	396.5622559	65	700	n
35	Waveform 1	1	397.1555176	397.3532715	95	400	y
35	Spectrogram 1	1	397.1555176	397.3532715	95	400	y
36	Waveform 1	1	418.7106934	418.7766113	200	850	n
36	Spectrogram 1	1	418.7106934	418.7766113	200	850	n
37	Waveform 1	1	434.3991699	434.4650879	300	750	n
37	Spectrogram 1	1	434.3991699	434.4650879	300	750	n
38	Waveform 1	1	438.9475098	439.0793457	135	750	n
38	Spectrogram 1	1	438.9475098	439.0793457	135	750	n
39	Waveform 1	1	469.2038574	469.2697754	450	700	n
39	Spectrogram 1	1	469.2038574	469.2697754	450	700	n
40	Waveform 1	1	469.2697754	469.5993652	75	850	n
40	Spectrogram 1	1	469.2697754	469.5993652	75	850	n
41	Waveform 1	1	477.6413574	477.9050293	65	350	n
41	Spectrogram 1	1	477.6413574	477.9050293	65	350	n
42	Waveform 1	1	486.5402832	487.4631348	75	135	n
42	Spectrogram 1	1	486.5402832	487.4631348	75	135	n
43	Waveform 1	1	488.3859863	488.4519043	200	850	n
43	Spectrogram 1	1	488.3859863	488.4519043	200	850	n
44	Waveform 1	1	499.9216309	500.0534668	200	850	y
44	Spectrogram 1	1	499.9216309	500.0534668	200	850	y
45	Waveform 1	1	506.4475098	506.5793457	200	850	y
45	Spectrogram 1	1	506.4475098	506.5793457	200	850	y
46	Waveform 1	1	509.6774902	509.7434082	400	850	y
46	Spectrogram 1	1	509.6774902	509.7434082	400	850	y
47	Waveform 1	1	512.9733887	513.1052246	250	850	y
47	Spectrogram 1	1	512.9733887	513.1052246	250	850	y
48	Waveform 1	1	514.1599121	514.2258301	400	650	n
48	Spectrogram 1	1	514.1599121	514.2258301	400	650	n
49	Waveform 1	1	519.5651855	519.7629395	200	850	y
49	Spectrogram 1	1	519.5651855	519.7629395	200	850	y
50	Waveform 1	1	585.4172363	585.8127441	65	165	n
50	Spectrogram 1	1	585.4172363	585.8127441	65	165	n
51	Waveform 1	1	594.7116699	595.3049316	65	500	n
51	Spectrogram 1	1	594.7116699	595.3049316	65	500	n
52	Waveform 1	1	617.848877	617.9807129	85	850	n
52	Spectrogram 1	1	617.848877	617.9807129	85	850	n
53	Waveform 1	1	621.4084473	621.4743652	200	750	n
53	Spectrogram 1	1	621.4084473	621.4743652	200	750	n
54	Waveform 1	1	644.5456543	645.0070801	85	450	n
54	Spectrogram 1	1	644.5456543	645.0070801	85	450	n
55	Waveform 1	1	684.6237793	684.7556152	200	650	y
55	Spectrogram 1	1	684.6237793	684.7556152	200	650	y
56	Waveform 1	1	691.0178223	691.1496582	200	600	y
56	Spectrogram 1	1	691.0178223	691.1496582	200	600	y
57	Waveform 1	1	694.1818848	694.3137207	200	750	y
57	Spectrogram 1	1	694.1818848	694.3137207	200	750	y
58	Waveform 1	1	697.4777832	697.6096191	300	850	y
58	Spectrogram 1	1	697.4777832	697.6096191	300	850	y
59	Waveform 1	1	700.7736816	700.9714355	125	850	y
59	Spectrogram 1	1	700.7736816	700.9714355	125	850	y
60	Waveform 1	1	704.0036621	704.333252	75	850	y
60	Spectrogram 1	1	704.0036621	704.333252	75	850	y
61	Waveform 1	1	715.2097168	715.2756348	300	700	y
61	Spectrogram 1	1	715.2097168	715.2756348	300	700	y
62	Waveform 1	1	732.1506348	732.2165527	200	750	n
62	Spectrogram 1	1	732.1506348	732.2165527	200	750	n
63	Waveform 1	1	746.520752	746.5866699	200	750	n
63	Spectrogram 1	1	746.520752	746.5866699	200	750	n
64	Waveform 1	1	751.0031738	751.3327637	65	400	y
64	Spectrogram 1	1	751.0031738	751.3327637	65	400	y
65	Waveform 1	1	756.8039551	757.3312988	65	135	n
65	Spectrogram 1	1	756.8039551	757.3312988	65	135	n
66	Waveform 1	1	766.3620605	766.7575684	115	850	n
66	Spectrogram 1	1	766.3620605	766.7575684	115	850	n
67	Waveform 1	1	770.2512207	771.0422363	65	500	n
67	Spectrogram 1	1	770.2512207	771.0422363	65	500	n
68	Waveform 1	1	778.8205566	778.9523926	200	700	n
68	Spectrogram 1	1	778.8205566	778.9523926	200	700	n
69	Waveform 1	1	801.5622559	801.6281738	450	700	n
69	Spectrogram 1	1	801.5622559	801.6281738	450	700	n
70	Waveform 1	1	805.9128418	805.9787598	200	800	n
70	Spectrogram 1	1	805.9128418	805.9787598	200	800	n
71	Waveform 1	1	821.9309082	822.260498	125	165	n
71	Spectrogram 1	1	821.9309082	822.260498	125	165	n
72	Waveform 1	1	839.333252	839.3991699	300	850	n
72	Spectrogram 1	1	839.333252	839.3991699	300	850	n
73	Waveform 1	1	881.1911621	881.7185059	65	125	n
73	Spectrogram 1	1	881.1911621	881.7185059	65	125	n
74	Waveform 1	1	882.7072754	882.7731934	200	450	n
74	Spectrogram 1	1	882.7072754	882.7731934	200	450	n
75	Waveform 1	1	897.9343262	899.1208496	65	500	n
75	Spectrogram 1	1	897.9343262	899.1208496	65	500	n
76	Waveform 1	1	960.6882324	960.9519043	135	600	y
76	Spectrogram 1	1	960.6882324	960.9519043	135	600	y
77	Waveform 1	1	969.1257324	969.1916504	250	850	n
77	Spectrogram 1	1	969.1257324	969.1916504	250	850	n
78	Waveform 1	1	972.8830566	973.0808105	95	850	n
78	Spectrogram 1	1	972.8830566	973.0808105	95	850	n
79	Waveform 1	1	992.8562012	992.9221191	350	650	n
79	Spectrogram 1	1	992.8562012	992.9221191	350	650	n
80	Waveform 1	1	1062.597412	1062.66333	250	550	n
80	Spectrogram 1	1	1062.597412	1062.66333	250	550	n
81	Waveform 1	1	1071.232666	1071.76001	65	400	n
81	Spectrogram 1	1	1071.232666	1071.76001	65	400	n
82	Waveform 1	1	1101.225342	1101.357178	125	500	n
82	Spectrogram 1	1	1101.225342	1101.357178	125	500	n
83	Waveform 1	1	1210.055908	1210.31958	135	850	y
83	Spectrogram 1	1	1210.055908	1210.31958	135	850	y
84	Waveform 1	1	1216.449951	1216.713623	200	650	y
84	Spectrogram 1	1	1216.449951	1216.713623	200	650	y
85	Waveform 1	1	1222.97583	1223.041748	400	750	y
85	Spectrogram 1	1	1222.97583	1223.041748	400	750	y
86	Waveform 1	1	1223.041748	1223.107666	200	800	y
86	Spectrogram 1	1	1223.041748	1223.107666	200	800	y
87	Waveform 1	1	1226.271729	1227.19458	75	850	y
87	Spectrogram 1	1	1226.271729	1227.19458	75	850	y
88	Waveform 1	1	1229.567627	1229.831299	200	850	y
88	Spectrogram 1	1	1229.567627	1229.831299	200	850	y
89	Waveform 1	1	1250.002197	1250.134033	125	850	n
89	Spectrogram 1	1	1250.002197	1250.134033	125	850	n
90	Waveform 1	1	1266.086182	1266.1521	200	850	n
90	Spectrogram 1	1	1266.086182	1266.1521	200	850	n
91	Waveform 1	1	1276.962646	1277.48999	75	165	n
91	Spectrogram 1	1	1276.962646	1277.48999	75	165	n
92	Waveform 1	1	1278.215088	1278.610596	65	350	n
92	Spectrogram 1	1	1278.215088	1278.610596	65	350	n
93	Waveform 1	1	1280.851807	1280.917725	200	550	n
93	Spectrogram 1	1	1280.851807	1280.917725	200	550	n
94	Waveform 1	1	1281.642822	1281.774658	200	850	n
94	Spectrogram 1	1	1281.642822	1281.774658	200	850	n
95	Waveform 1	1	1349.999756	1350.329346	95	400	n
95	Spectrogram 1	1	1349.999756	1350.329346	95	400	n
96	Waveform 1	1	1393.703369	1394.098877	85	850	y
96	Spectrogram 1	1	1393.703369	1394.098877	85	850	y
97	Waveform 1	1	1400.097412	1400.229248	200	450	y
97	Spectrogram 1	1	1400.097412	1400.229248	200	450	y
98	Waveform 1	1	1406.623291	1406.689209	200	850	y
98	Spectrogram 1	1	1406.623291	1406.689209	200	850	y
99	Waveform 1	1	1406.689209	1406.821045	350	700	y
99	Spectrogram 1	1	1406.689209	1406.821045	350	700	y
100	Waveform 1	1	1409.919189	1410.116943	85	850	y
100	Spectrogram 1	1	1409.919189	1410.116943	85	850	y
101	Waveform 1	1	1413.281006	1414.072021	65	850	y
101	Spectrogram 1	1	1413.281006	1414.072021	65	850	y
102	Waveform 1	1	1427.189697	1427.782959	105	700	y
102	Spectrogram 1	1	1427.189697	1427.782959	105	700	y
103	Waveform 1	1	1445.317139	1445.448975	200	850	y
103	Spectrogram 1	1	1445.317139	1445.448975	200	850	y
104	Waveform 1	1	1448.085693	1448.613037	65	145	n
104	Spectrogram 1	1	1448.085693	1448.613037	65	145	n
105	Waveform 1	1	1492.712158	1493.503174	65	400	y
105	Spectrogram 1	1	1492.712158	1493.503174	65	400	y
106	Waveform 1	1	1592.248291	1592.709717	65	850	n
106	Spectrogram 1	1	1592.248291	1592.709717	65	850	n
107	Waveform 1	1	1633.249268	1633.315186	300	850	n
107	Spectrogram 1	1	1633.249268	1633.315186	300	850	n
108	Waveform 1	1	1669.108643	1669.240479	200	850	y
108	Spectrogram 1	1	1669.108643	1669.240479	200	850	y
109	Waveform 1	1	1701.935791	1702.529053	65	115	n
109	Spectrogram 1	1	1701.935791	1702.529053	65	115	n
110	Waveform 1	1	1714.789795	1714.921631	200	850	y
110	Spectrogram 1	1	1714.789795	1714.921631	200	850	y
111	Waveform 1	1	1720.063232	1720.195068	250	700	y
111	Spectrogram 1	1	1720.063232	1720.195068	250	700	y
112	Waveform 1	1	1725.00708	1725.468506	65	350	n
112	Spectrogram 1	1	1725.00708	1725.468506	65	350	n
113	Waveform 1	1	1733.510498	1734.235596	105	700	y
113	Spectrogram 1	1	1733.510498	1734.235596	105	700	y
114	Waveform 1	1	1739.838623	1740.168213	135	850	y
114	Spectrogram 1	1	1739.838623	1740.168213	135	850	y
115	Waveform 1	1	1743.068604	1743.200439	200	750	y
115	Spectrogram 1	1	1743.068604	1743.200439	200	750	y
116	Waveform 1	1	1746.364502	1746.562256	150	850	y
116	Spectrogram 1	1	1746.364502	1746.562256	150	850	y
117	Waveform 1	1	1749.6604	1749.792236	400	850	y
117	Spectrogram 1	1	1749.6604	1749.792236	400	850	y
118	Waveform 1	1	1752.890381	1753.154053	65	850	y
118	Spectrogram 1	1	1752.890381	1753.154053	65	850	y
119	Waveform 1	1	1756.120361	1756.252197	300	700	y
119	Spectrogram 1	1	1756.120361	1756.252197	300	700	y
120	Waveform 1	1	1759.218506	1759.284424	200	850	y
120	Spectrogram 1	1	1759.218506	1759.284424	200	850	y
121	Waveform 1	1	1765.282959	1765.810303	105	600	y
121	Spectrogram 1	1	1765.282959	1765.810303	105	600	y
122	Waveform 1	1	1782.619385	1782.817139	150	850	y
122	Spectrogram 1	1	1782.619385	1782.817139	150	850	y
123	Waveform 1	1	1797.38501	1797.450928	300	550	n
123	Spectrogram 1	1	1797.38501	1797.450928	300	550	n
124	Waveform 1	1	1798.901123	1799.362549	115	850	y
124	Spectrogram 1	1	1798.901123	1799.362549	115	850	y
125	Waveform 1	1	1815.578369	1815.644287	250	850	n
125	Spectrogram 1	1	1815.578369	1815.644287	250	850	n
126	Waveform 1	1	1831.794189	1831.860107	300	600	y
126	Spectrogram 1	1	1831.794189	1831.860107	300	600	y
127	Waveform 1	1	1834.958252	1835.156006	150	850	y
127	Spectrogram 1	1	1834.958252	1835.156006	150	850	y
128	Waveform 1	1	1936.27417	1936.60376	115	400	y
128	Spectrogram 1	1	1936.27417	1936.60376	115	400	y
129	Waveform 1	1	1942.668213	1942.931885	135	350	y
129	Spectrogram 1	1	1942.668213	1942.931885	135	350	y
130	Waveform 1	1	1949.194092	1949.457764	135	600	y
130	Spectrogram 1	1	1949.194092	1949.457764	135	600	y
131	Waveform 1	1	2005.553955	2005.685791	300	650	y
131	Spectrogram 1	1	2005.553955	2005.685791	300	650	y
132	Waveform 1	1	2024.933838	2025.856689	65	145	n
132	Spectrogram 1	1	2024.933838	2025.856689	65	145	n
133	Waveform 1	1	2065.868896	2065.934814	400	800	n
133	Spectrogram 1	1	2065.868896	2065.934814	400	800	n
134	Waveform 1	1	2084.721436	2084.787354	450	850	y
134	Spectrogram 1	1	2084.721436	2084.787354	450	850	y
135	Waveform 1	1	2087.885498	2087.951416	200	850	y
135	Spectrogram 1	1	2087.885498	2087.951416	200	850	y
136	Waveform 1	1	2102.189697	2102.980713	65	350	n
136	Spectrogram 1	1	2102.189697	2102.980713	65	350	n
137	Waveform 1	1	2103.705811	2103.771729	450	850	n
137	Spectrogram 1	1	2103.705811	2103.771729	450	850	n
138	Waveform 1	1	2106.803955	2106.935791	200	850	y
138	Spectrogram 1	1	2106.803955	2106.935791	200	850	y
139	Waveform 1	1	2154.594482	2154.858154	65	165	n
139	Spectrogram 1	1	2154.594482	2154.858154	65	165	n
140	Waveform 1	1	2163.163818	2163.361572	75	165	n
140	Spectrogram 1	1	2163.163818	2163.361572	75	165	n
141	Waveform 1	1	2175.820068	2175.885986	200	550	n
141	Spectrogram 1	1	2175.820068	2175.885986	200	550	n
142	Waveform 1	1	2185.246338	2185.51001	105	750	y
142	Spectrogram 1	1	2185.246338	2185.51001	105	750	y
143	Waveform 1	1	2191.640381	2191.772217	150	550	y
143	Spectrogram 1	1	2191.640381	2191.772217	150	550	y
144	Waveform 1	1	2194.804443	2195.068115	105	650	y
144	Spectrogram 1	1	2194.804443	2195.068115	105	650	y
145	Waveform 1	1	2198.100342	2198.429932	105	850	y
145	Spectrogram 1	1	2198.100342	2198.429932	105	850	y
146	Waveform 1	1	2201.264404	2201.39624	200	850	y
146	Spectrogram 1	1	2201.264404	2201.39624	200	850	y
147	Waveform 1	1	2204.494385	2204.560303	400	700	y
147	Spectrogram 1	1	2204.494385	2204.560303	400	700	y
148	Waveform 1	1	2204.560303	2204.692139	200	850	y
148	Spectrogram 1	1	2204.560303	2204.692139	200	850	y
149	Waveform 1	1	2207.790283	2207.856201	250	850	y
149	Spectrogram 1	1	2207.790283	2207.856201	250	850	y
150	Waveform 1	1	2210.954346	2211.086182	115	850	y
150	Spectrogram 1	1	2210.954346	2211.086182	115	850	y
151	Waveform 1	1	2233.036865	2233.234619	65	850	n
151	Spectrogram 1	1	2233.036865	2233.234619	65	850	n
152	Waveform 1	1	2236.003174	2236.069092	95	800	n
152	Spectrogram 1	1	2236.003174	2236.069092	95	800	n
153	Waveform 1	1	2242.594971	2243.385986	65	125	n
153	Spectrogram 1	1	2242.594971	2243.385986	65	125	n
154	Waveform 1	1	2251.098389	2251.230225	250	850	y
154	Spectrogram 1	1	2251.098389	2251.230225	250	850	y
155	Waveform 1	1	2252.812256	2253.801025	75	135	n
155	Spectrogram 1	1	2252.812256	2253.801025	75	135	n
156	Waveform 1	1	2269.950928	2270.016846	250	700	y
156	Spectrogram 1	1	2269.950928	2270.016846	250	700	y
157	Waveform 1	1	2273.11499	2273.44458	125	850	y
157	Spectrogram 1	1	2273.11499	2273.44458	125	850	y
158	Waveform 1	1	2292.428955	2292.560791	200	850	y
158	Spectrogram 1	1	2292.428955	2292.560791	200	850	y
159	Waveform 1	1	2295.19751	2295.724854	65	145	n
159	Spectrogram 1	1	2295.19751	2295.724854	65	145	n
160	Waveform 1	1	2308.249268	2308.381104	450	750	y
160	Spectrogram 1	1	2308.249268	2308.381104	450	750	y
161	Waveform 1	1	2311.215576	2311.347412	150	750	y
161	Spectrogram 1	1	2311.215576	2311.347412	150	750	y
162	Waveform 1	1	2353.205322	2353.798584	65	135	n
162	Spectrogram 1	1	2353.205322	2353.798584	65	135	n
163	Waveform 1	1	2369.618896	2370.080322	65	650	n
163	Spectrogram 1	1	2369.618896	2370.080322	65	650	n
164	Waveform 1	1	2408.576416	2409.235596	105	850	y
164	Spectrogram 1	1	2408.576416	2409.235596	105	850	y
165	Waveform 1	1	2414.904541	2415.102295	125	650	y
165	Spectrogram 1	1	2414.904541	2415.102295	125	650	y
166	Waveform 1	1	2418.068604	2418.134521	200	650	y
166	Spectrogram 1	1	2418.068604	2418.134521	200	650	y
167	Waveform 1	1	2421.364502	2421.496338	200	700	y
167	Spectrogram 1	1	2421.364502	2421.496338	200	700	y
168	Waveform 1	1	2424.594482	2424.726318	150	650	y
168	Spectrogram 1	1	2424.594482	2424.726318	150	650	y
169	Waveform 1	1	2427.824463	2428.088135	125	750	y
169	Spectrogram 1	1	2427.824463	2428.088135	125	750	y
170	Waveform 1	1	2431.120361	2431.515869	105	850	y
170	Spectrogram 1	1	2431.120361	2431.515869	105	850	y
171	Waveform 1	1	2455.971436	2456.103271	300	850	y
171	Spectrogram 1	1	2455.971436	2456.103271	300	850	y
172	Waveform 1	1	2458.937744	2459.003662	300	850	n
172	Spectrogram 1	1	2458.937744	2459.003662	300	850	n
173	Waveform 1	1	2473.967041	2474.032959	200	850	y
173	Spectrogram 1	1	2473.967041	2474.032959	200	850	y
174	Waveform 1	1	2477.065186	2477.131104	450	700	n
174	Spectrogram 1	1	2477.065186	2477.131104	450	700	n
175	Waveform 1	1	2480.558838	2481.1521	105	850	y
175	Spectrogram 1	1	2480.558838	2481.1521	105	850	y
176	Waveform 1	1	2485.173096	2485.700439	65	400	n
176	Spectrogram 1	1	2485.173096	2485.700439	65	400	n
177	Waveform 1	1	2490.644287	2490.973877	65	450	y
177	Spectrogram 1	1	2490.644287	2490.973877	65	450	y
178	Waveform 1	1	2490.973877	2491.567139	95	165	n
178	Spectrogram 1	1	2490.973877	2491.567139	95	165	n
179	Waveform 1	1	2495.654053	2495.917725	200	750	y
179	Spectrogram 1	1	2495.654053	2495.917725	200	750	y
180	Waveform 1	1	2515.495361	2515.627197	200	850	y
180	Spectrogram 1	1	2515.495361	2515.627197	200	850	y
181	Waveform 1	1	2529.931396	2530.195068	95	145	n
181	Spectrogram 1	1	2529.931396	2530.195068	95	145	n
182	Waveform 1	1	2530.195068	2531.513428	65	450	n
182	Spectrogram 1	1	2530.195068	2531.513428	65	450	n
183	Waveform 1	1	2531.513428	2532.040771	65	350	y
183	Spectrogram 1	1	2531.513428	2532.040771	65	350	y
184	Waveform 1	1	2578.908447	2579.963135	65	165	n
184	Spectrogram 1	1	2578.908447	2579.963135	65	165	n
185	Waveform 1	1	2594.926514	2595.387939	65	165	n
185	Spectrogram 1	1	2594.926514	2595.387939	65	165	n
186	Waveform 1	1	2599.343018	2600.002197	65	450	y
186	Spectrogram 1	1	2599.343018	2600.002197	65	450	y
187	Waveform 1	1	2605.868896	2606.06665	135	850	y
187	Spectrogram 1	1	2605.868896	2606.06665	135	850	y
188	Waveform 1	1	2612.394775	2612.526611	200	850	y
188	Spectrogram 1	1	2612.394775	2612.526611	200	850	y
189	Waveform 1	1	2618.920654	2619.118408	200	850	y
189	Spectrogram 1	1	2618.920654	2619.118408	200	850	y
190	Waveform 1	1	2623.666748	2624.194092	65	145	n
190	Spectrogram 1	1	2623.666748	2624.194092	65	145	n
191	Waveform 1	1	2667.502197	2667.568115	350	850	n
191	Spectrogram 1	1	2667.502197	2667.568115	350	850	n
192	Waveform 1	1	2670.99585	2671.984619	65	125	n
192	Spectrogram 1	1	2670.99585	2671.984619	65	125	n
193	Waveform 1	1	2690.639404	2690.77124	200	850	y
193	Spectrogram 1	1	2690.639404	2690.77124	200	850	y
194	Waveform 1	1	2710.414795	2710.546631	400	700	n
194	Spectrogram 1	1	2710.414795	2710.546631	400	700	n
195	Waveform 1	1	2741.593994	2741.989502	105	165	n
195	Spectrogram 1	1	2741.593994	2741.989502	105	165	n
196	Waveform 1	1	2814.697021	2815.422119	115	350	y
196	Spectrogram 1	1	2814.697021	2815.422119	115	350	y
197	Waveform 1	1	2827.485107	2827.551025	200	450	n
197	Spectrogram 1	1	2827.485107	2827.551025	200	450	n
198	Waveform 1	1	2866.706299	2866.838135	200	700	y
198	Spectrogram 1	1	2866.706299	2866.838135	200	700	y
199	Waveform 1	1	2870.331787	2870.463623	200	850	y
199	Spectrogram 1	1	2870.331787	2870.463623	200	850	y
200	Waveform 1	1	2875.341553	2876.593994	75	600	n
200	Spectrogram 1	1	2875.341553	2876.593994	75	600	n
201	Waveform 1	1	2885.82251	2886.020264	105	450	n
201	Spectrogram 1	1	2885.82251	2886.020264	105	450	n
202	Waveform 1	1	2988.786377	2988.918213	350	600	y
202	Spectrogram 1	1	2988.786377	2988.918213	350	600	y
203	Waveform 1	1	3002.365479	3002.892822	85	165	n
203	Spectrogram 1	1	3002.365479	3002.892822	85	165	n
204	Waveform 1	1	3005.199951	3005.298828	65	400	n
204	Spectrogram 1	1	3005.199951	3005.298828	65	400	n
205	Waveform 1	1	3005.298828	3006.386475	95	300	n
205	Spectrogram 1	1	3005.298828	3006.386475	95	300	n
206	Waveform 1	1	3016.142334	3016.27417	250	850	y
206	Spectrogram 1	1	3016.142334	3016.27417	250	850	y
207	Waveform 1	1	3019.174561	3019.240479	350	850	n
207	Spectrogram 1	1	3019.174561	3019.240479	350	850	n
208	Waveform 1	1	3038.356689	3038.422607	500	850	n
208	Spectrogram 1	1	3038.356689	3038.422607	500	850	n
209	Waveform 1	1	3055.033936	3055.759033	85	850	n
209	Spectrogram 1	1	3055.033936	3055.759033	85	850	n
210	Waveform 1	1	3058.263916	3058.329834	400	850	n
210	Spectrogram 1	1	3058.263916	3058.329834	400	850	n
211	Waveform 1	1	3062.548584	3063.141846	65	145	n
211	Spectrogram 1	1	3062.548584	3063.141846	65	145	n
212	Waveform 1	1	3074.150146	3074.216064	350	850	n
212	Spectrogram 1	1	3074.150146	3074.216064	350	850	n
213	Waveform 1	1	3115.151123	3115.282959	200	850	n
213	Spectrogram 1	1	3115.151123	3115.282959	200	850	n
214	Waveform 1	1	3147.7146	3148.110107	95	500	n
214	Spectrogram 1	1	3147.7146	3148.110107	95	500	n
215	Waveform 1	1	3167.621826	3168.14917	85	165	n
215	Spectrogram 1	1	3167.621826	3168.14917	85	165	n
216	Waveform 1	1	3185.551514	3186.012939	65	450	n
216	Spectrogram 1	1	3185.551514	3186.012939	65	450	n
217	Waveform 1	1	3206.579346	3206.7771	150	550	y
217	Spectrogram 1	1	3206.579346	3206.7771	150	550	y
218	Waveform 1	1	3229.123291	3229.255127	400	850	y
218	Spectrogram 1	1	3229.123291	3229.255127	400	850	y
219	Waveform 1	1	3259.511475	3259.577393	200	700	y
219	Spectrogram 1	1	3259.511475	3259.577393	200	700	y
220	Waveform 1	1	3277.50708	3277.638916	95	850	y
220	Spectrogram 1	1	3277.50708	3277.638916	95	850	y
221	Waveform 1	1	3293.129639	3293.195557	300	850	y
221	Spectrogram 1	1	3293.129639	3293.195557	300	850	y
222	Waveform 1	1	3301.039795	3301.369385	65	165	n
222	Spectrogram 1	1	3301.039795	3301.369385	65	165	n
223	Waveform 1	1	3315.607666	3315.673584	300	850	n
223	Spectrogram 1	1	3315.607666	3315.673584	300	850	n
224	Waveform 1	1	3429.843506	3430.04126	150	600	y
224	Spectrogram 1	1	3429.843506	3430.04126	150	600	y
225	Waveform 1	1	3436.237549	3436.369385	200	450	y
225	Spectrogram 1	1	3436.237549	3436.369385	200	450	y
226	Waveform 1	1	3439.533447	3439.928955	85	450	y
226	Spectrogram 1	1	3439.533447	3439.928955	85	450	y
227	Waveform 1	1	3442.763428	3442.895264	200	850	y
227	Spectrogram 1	1	3442.763428	3442.895264	200	850	y
228	Waveform 1	1	3445.993408	3446.125244	200	850	y
228	Spectrogram 1	1	3445.993408	3446.125244	200	850	y
229	Waveform 1	1	3447.24585	3447.839111	95	145	n
229	Spectrogram 1	1	3447.24585	3447.839111	95	145	n
230	Waveform 1	1	3449.289307	3449.487061	300	850	y
230	Spectrogram 1	1	3449.289307	3449.487061	300	850	y
231	Waveform 1	1	3472.492432	3473.085693	105	500	n
231	Spectrogram 1	1	3472.492432	3473.085693	105	500	n
232	Waveform 1	1	3491.872314	3492.070068	65	165	n
