Selection	View	Chanel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
64	Spectrogram 1	1	751.0031738	751.3327637	65	400
76	Waveform 1	1	960.6882324	960.9519043	135	600
76	Spectrogram 1	1	960.6882324	960.9519043	135	600
83	Waveform 1	1	1210.055908	1210.31958	135	850
83	Spectrogram 1	1	1210.055908	1210.31958	135	850
84	Waveform 1	1	1216.449951	1216.713623	200	650
84	Spectrogram 1	1	1216.449951	1216.713623	200	650
85	Waveform 1	1	1222.97583	1223.041748	400	750
85	Spectrogram 1	1	1222.97583	1223.041748	400	750
86	Waveform 1	1	1223.041748	1223.107666	200	800
86	Spectrogram 1	1	1223.041748	1223.107666	200	800
87	Waveform 1	1	1226.271729	1227.19458	75	850
87	Spectrogram 1	1	1226.271729	1227.19458	75	850
88	Waveform 1	1	1229.567627	1229.831299	200	850
88	Spectrogram 1	1	1229.567627	1229.831299	200	850
96	Waveform 1	1	1393.703369	1394.098877	85	850
96	Spectrogram 1	1	1393.703369	1394.098877	85	850
97	Waveform 1	1	1400.097412	1400.229248	200	450
97	Spectrogram 1	1	1400.097412	1400.229248	200	450
98	Waveform 1	1	1406.623291	1406.689209	200	850
98	Spectrogram 1	1	1406.623291	1406.689209	200	850
99	Waveform 1	1	1406.689209	1406.821045	350	700
99	Spectrogram 1	1	1406.689209	1406.821045	350	700
100	Waveform 1	1	1409.919189	1410.116943	85	850
100	Spectrogram 1	1	1409.919189	1410.116943	85	850
101	Waveform 1	1	1413.281006	1414.072021	65	850
101	Spectrogram 1	1	1413.281006	1414.072021	65	850
102	Waveform 1	1	1427.189697	1427.782959	105	700
102	Spectrogram 1	1	1427.189697	1427.782959	105	700
103	Waveform 1	1	1445.317139	1445.448975	200	850
103	Spectrogram 1	1	1445.317139	1445.448975	200	850
105	Waveform 1	1	1492.712158	1493.503174	65	400
105	Spectrogram 1	1	1492.712158	1493.503174	65	400
108	Waveform 1	1	1669.108643	1669.240479	200	850
108	Spectrogram 1	1	1669.108643	1669.240479	200	850
110	Waveform 1	1	1714.789795	1714.921631	200	850
110	Spectrogram 1	1	1714.789795	1714.921631	200	850
111	Waveform 1	1	1720.063232	1720.195068	250	700
111	Spectrogram 1	1	1720.063232	1720.195068	250	700
113	Waveform 1	1	1733.510498	1734.235596	105	700
113	Spectrogram 1	1	1733.510498	1734.235596	105	700
114	Waveform 1	1	1739.838623	1740.168213	135	850
114	Spectrogram 1	1	1739.838623	1740.168213	135	850
115	Waveform 1	1	1743.068604	1743.200439	200	750
115	Spectrogram 1	1	1743.068604	1743.200439	200	750
116	Waveform 1	1	1746.364502	1746.562256	150	850
116	Spectrogram 1	1	1746.364502	1746.562256	150	850
117	Waveform 1	1	1749.6604	1749.792236	400	850
117	Spectrogram 1	1	1749.6604	1749.792236	400	850
118	Waveform 1	1	1752.890381	1753.154053	65	850
118	Spectrogram 1	1	1752.890381	1753.154053	65	850
119	Waveform 1	1	1756.120361	1756.252197	300	700
119	Spectrogram 1	1	1756.120361	1756.252197	300	700
120	Waveform 1	1	1759.218506	1759.284424	200	850
120	Spectrogram 1	1	1759.218506	1759.284424	200	850
121	Waveform 1	1	1765.282959	1765.810303	105	600
121	Spectrogram 1	1	1765.282959	1765.810303	105	600
122	Waveform 1	1	1782.619385	1782.817139	150	850
122	Spectrogram 1	1	1782.619385	1782.817139	150	850
124	Waveform 1	1	1798.901123	1799.362549	115	850
124	Spectrogram 1	1	1798.901123	1799.362549	115	850
126	Waveform 1	1	1831.794189	1831.860107	300	600
126	Spectrogram 1	1	1831.794189	1831.860107	300	600
127	Waveform 1	1	1834.958252	1835.156006	150	850
127	Spectrogram 1	1	1834.958252	1835.156006	150	850
128	Waveform 1	1	1936.27417	1936.60376	115	400
128	Spectrogram 1	1	1936.27417	1936.60376	115	400
129	Waveform 1	1	1942.668213	1942.931885	135	350
129	Spectrogram 1	1	1942.668213	1942.931885	135	350
130	Waveform 1	1	1949.194092	1949.457764	135	600
130	Spectrogram 1	1	1949.194092	1949.457764	135	600
131	Waveform 1	1	2005.553955	2005.685791	300	650
131	Spectrogram 1	1	2005.553955	2005.685791	300	650
134	Waveform 1	1	2084.721436	2084.787354	450	850
134	Spectrogram 1	1	2084.721436	2084.787354	450	850
135	Waveform 1	1	2087.885498	2087.951416	200	850
135	Spectrogram 1	1	2087.885498	2087.951416	200	850
138	Waveform 1	1	2106.803955	2106.935791	200	850
138	Spectrogram 1	1	2106.803955	2106.935791	200	850
142	Waveform 1	1	2185.246338	2185.51001	105	750
142	Spectrogram 1	1	2185.246338	2185.51001	105	750
143	Waveform 1	1	2191.640381	2191.772217	150	550
143	Spectrogram 1	1	2191.640381	2191.772217	150	550
144	Waveform 1	1	2194.804443	2195.068115	105	650
144	Spectrogram 1	1	2194.804443	2195.068115	105	650
145	Waveform 1	1	2198.100342	2198.429932	105	850
145	Spectrogram 1	1	2198.100342	2198.429932	105	850
146	Waveform 1	1	2201.264404	2201.39624	200	850
146	Spectrogram 1	1	2201.264404	2201.39624	200	850
147	Waveform 1	1	2204.494385	2204.560303	400	700
147	Spectrogram 1	1	2204.494385	2204.560303	400	700
148	Waveform 1	1	2204.560303	2204.692139	200	850
148	Spectrogram 1	1	2204.560303	2204.692139	200	850
149	Waveform 1	1	2207.790283	2207.856201	250	850
149	Spectrogram 1	1	2207.790283	2207.856201	250	850
150	Waveform 1	1	2210.954346	2211.086182	115	850
150	Spectrogram 1	1	2210.954346	2211.086182	115	850
154	Waveform 1	1	2251.098389	2251.230225	250	850
154	Spectrogram 1	1	2251.098389	2251.230225	250	850
156	Waveform 1	1	2269.950928	2270.016846	250	700
156	Spectrogram 1	1	2269.950928	2270.016846	250	700
157	Waveform 1	1	2273.11499	2273.44458	125	850
157	Spectrogram 1	1	2273.11499	2273.44458	125	850
158	Waveform 1	1	2292.428955	2292.560791	200	850
158	Spectrogram 1	1	2292.428955	2292.560791	200	850
160	Waveform 1	1	2308.249268	2308.381104	450	750
160	Spectrogram 1	1	2308.249268	2308.381104	450	750
161	Waveform 1	1	2311.215576	2311.347412	150	750
161	Spectrogram 1	1	2311.215576	2311.347412	150	750
164	Waveform 1	1	2408.576416	2409.235596	105	850
164	Spectrogram 1	1	2408.576416	2409.235596	105	850
165	Waveform 1	1	2414.904541	2415.102295	125	650
165	Spectrogram 1	1	2414.904541	2415.102295	125	650
166	Waveform 1	1	2418.068604	2418.134521	200	650
166	Spectrogram 1	1	2418.068604	2418.134521	200	650
167	Waveform 1	1	2421.364502	2421.496338	200	700
167	Spectrogram 1	1	2421.364502	2421.496338	200	700
168	Waveform 1	1	2424.594482	2424.726318	150	650
168	Spectrogram 1	1	2424.594482	2424.726318	150	650
169	Waveform 1	1	2427.824463	2428.088135	125	750
169	Spectrogram 1	1	2427.824463	2428.088135	125	750
170	Waveform 1	1	2431.120361	2431.515869	105	850
170	Spectrogram 1	1	2431.120361	2431.515869	105	850
171	Waveform 1	1	2455.971436	2456.103271	300	850
171	Spectrogram 1	1	2455.971436	2456.103271	300	850
173	Waveform 1	1	2473.967041	2474.032959	200	850
173	Spectrogram 1	1	2473.967041	2474.032959	200	850
175	Waveform 1	1	2480.558838	2481.1521	105	850
175	Spectrogram 1	1	2480.558838	2481.1521	105	850
177	Waveform 1	1	2490.644287	2490.973877	65	450
177	Spectrogram 1	1	2490.644287	2490.973877	65	450
179	Waveform 1	1	2495.654053	2495.917725	200	750
179	Spectrogram 1	1	2495.654053	2495.917725	200	750
180	Waveform 1	1	2515.495361	2515.627197	200	850
180	Spectrogram 1	1	2515.495361	2515.627197	200	850
183	Waveform 1	1	2531.513428	2532.040771	65	350
183	Spectrogram 1	1	2531.513428	2532.040771	65	350
186	Waveform 1	1	2599.343018	2600.002197	65	450
186	Spectrogram 1	1	2599.343018	2600.002197	65	450
187	Waveform 1	1	2605.868896	2606.06665	135	850
187	Spectrogram 1	1	2605.868896	2606.06665	135	850
188	Waveform 1	1	2612.394775	2612.526611	200	850
188	Spectrogram 1	1	2612.394775	2612.526611	200	850
189	Waveform 1	1	2618.920654	2619.118408	200	850
189	Spectrogram 1	1	2618.920654	2619.118408	200	850
193	Waveform 1	1	2690.639404	2690.77124	200	850
193	Spectrogram 1	1	2690.639404	2690.77124	200	850
196	Waveform 1	1	2814.697021	2815.422119	115	350
196	Spectrogram 1	1	2814.697021	2815.422119	115	350
198	Waveform 1	1	2866.706299	2866.838135	200	700
198	Spectrogram 1	1	2866.706299	2866.838135	200	700
199	Waveform 1	1	2870.331787	2870.463623	200	850
199	Spectrogram 1	1	2870.331787	2870.463623	200	850
202	Waveform 1	1	2988.786377	2988.918213	350	600
202	Spectrogram 1	1	2988.786377	2988.918213	350	600
206	Waveform 1	1	3016.142334	3016.27417	250	850
206	Spectrogram 1	1	3016.142334	3016.27417	250	850
217	Waveform 1	1	3206.579346	3206.7771	150	550
217	Spectrogram 1	1	3206.579346	3206.7771	150	550
218	Waveform 1	1	3229.123291	3229.255127	400	850
218	Spectrogram 1	1	3229.123291	3229.255127	400	850
219	Waveform 1	1	3259.511475	3259.577393	200	700
219	Spectrogram 1	1	3259.511475	3259.577393	200	700
220	Waveform 1	1	3277.50708	3277.638916	95	850
220	Spectrogram 1	1	3277.50708	3277.638916	95	850
221	Waveform 1	1	3293.129639	3293.195557	300	850
221	Spectrogram 1	1	3293.129639	3293.195557	300	850
224	Waveform 1	1	3429.843506	3430.04126	150	600
224	Spectrogram 1	1	3429.843506	3430.04126	150	600
225	Waveform 1	1	3436.237549	3436.369385	200	450
225	Spectrogram 1	1	3436.237549	3436.369385	200	450
226	Waveform 1	1	3439.533447	3439.928955	85	450
226	Spectrogram 1	1	3439.533447	3439.928955	85	450
227	Waveform 1	1	3442.763428	3442.895264	200	850
227	Spectrogram 1	1	3442.763428	3442.895264	200	850
228	Waveform 1	1	3445.993408	3446.125244	200	850
228	Spectrogram 1	1	3445.993408	3446.125244	200	850
230	Waveform 1	1	3449.289307	3449.487061	300	850
230	Spectrogram 1	1	3449.289307	3449.487061	300	850
237	Waveform 1	1	3566.359619	3566.952881	65	850
237	Spectrogram 1	1	3566.359619	3566.952881	65	850
238	Waveform 1	1	3585.673584	3585.739502	200	850
238	Spectrogram 1	1	3585.673584	3585.739502	200	850
239	Waveform 1	1	3601.230225	3601.296143	250	850
239	Spectrogram 1	1	3601.230225	3601.296143	250	850
241	Waveform 1	1	3700.766357	3700.964111	150	600
241	Spectrogram 1	1	3700.766357	3700.964111	150	600
242	Waveform 1	1	3713.620361	3713.752197	200	650
242	Spectrogram 1	1	3713.620361	3713.752197	200	650
243	Waveform 1	1	3716.91626	3716.982178	400	650
243	Spectrogram 1	1	3716.91626	3716.982178	400	650
244	Waveform 1	1	3720.14624	3720.278076	400	650
244	Spectrogram 1	1	3720.14624	3720.278076	400	650
245	Waveform 1	1	3746.908936	3747.172607	105	500
245	Spectrogram 1	1	3746.908936	3747.172607	105	500
246	Waveform 1	1	3748.622803	3748.688721	400	850
246	Spectrogram 1	1	3748.622803	3748.688721	400	850
247	Waveform 1	1	3751.786865	3751.918701	200	650
247	Spectrogram 1	1	3751.786865	3751.918701	200	650
266	Waveform 1	1	4033.058838	4033.454346	105	550
266	Spectrogram 1	1	4033.058838	4033.454346	105	550
282	Waveform 1	1	4289.018311	4289.150146	200	700
282	Spectrogram 1	1	4289.018311	4289.150146	200	700
283	Waveform 1	1	4295.2146	4295.412354	200	750
283	Spectrogram 1	1	4295.2146	4295.412354	200	750
284	Waveform 1	1	4298.44458	4298.510498	200	700
284	Spectrogram 1	1	4298.44458	4298.510498	200	700
285	Waveform 1	1	4301.608643	4301.740479	200	650
285	Spectrogram 1	1	4301.608643	4301.740479	200	650
286	Waveform 1	1	4304.838623	4304.904541	350	650
286	Spectrogram 1	1	4304.838623	4304.904541	350	650
287	Waveform 1	1	4355.265869	4355.331787	250	850
287	Spectrogram 1	1	4355.265869	4355.331787	250	850
289	Waveform 1	1	4432.060303	4432.192139	200	550
289	Spectrogram 1	1	4432.060303	4432.192139	200	550
296	Waveform 1	1	4567.323975	4567.455811	150	400
296	Spectrogram 1	1	4567.323975	4567.455811	150	400
297	Waveform 1	1	4576.947998	4577.145752	125	300
297	Spectrogram 1	1	4576.947998	4577.145752	125	300
298	Waveform 1	1	4580.309814	4580.507568	105	500
298	Spectrogram 1	1	4580.309814	4580.507568	105	500
305	Waveform 1	1	4807.067627	4807.594971	65	650
305	Spectrogram 1	1	4807.067627	4807.594971	65	650
306	Waveform 1	1	4813.329834	4813.46167	150	450
306	Spectrogram 1	1	4813.329834	4813.46167	150	450
308	Waveform 1	1	4819.789795	4819.987549	200	550
308	Spectrogram 1	1	4819.789795	4819.987549	200	550
309	Waveform 1	1	4823.085693	4823.217529	150	650
309	Spectrogram 1	1	4823.085693	4823.217529	150	650
310	Waveform 1	1	4826.381592	4826.513428	200	650
310	Spectrogram 1	1	4826.381592	4826.513428	200	650
314	Waveform 1	1	4897.638916	4897.770752	150	850
314	Spectrogram 1	1	4897.638916	4897.770752	150	850
320	Waveform 1	1	5039.296631	5039.428467	200	700
320	Spectrogram 1	1	5039.296631	5039.428467	200	700
326	Waveform 1	1	5147.599854	5147.797607	135	600
326	Spectrogram 1	1	5147.599854	5147.797607	135	600
328	Waveform 1	1	5160.519775	5160.651611	200	850
328	Spectrogram 1	1	5160.519775	5160.651611	200	850
335	Waveform 1	1	5253.793701	5253.925537	200	850
335	Spectrogram 1	1	5253.793701	5253.925537	200	850
339	Waveform 1	1	5369.611572	5370.00708	75	300
339	Spectrogram 1	1	5369.611572	5370.00708	75	300
340	Waveform 1	1	5376.796631	5377.323975	75	300
340	Spectrogram 1	1	5376.796631	5377.323975	75	300
342	Waveform 1	1	5423.268799	5423.466553	150	450
342	Spectrogram 1	1	5423.268799	5423.466553	150	450
344	Waveform 1	1	5429.465088	5429.926514	85	750
344	Spectrogram 1	1	5429.465088	5429.926514	85	750
346	Waveform 1	1	5436.056885	5436.254639	150	450
346	Spectrogram 1	1	5436.056885	5436.254639	150	450
347	Waveform 1	1	5472.443604	5472.575439	200	450
347	Spectrogram 1	1	5472.443604	5472.575439	200	450
358	Waveform 1	1	5791.420654	5791.947998	135	700
358	Spectrogram 1	1	5791.420654	5791.947998	135	700
359	Waveform 1	1	5797.748779	5798.012451	95	600
359	Spectrogram 1	1	5797.748779	5798.012451	95	600
360	Waveform 1	1	5804.076904	5804.20874	250	600
360	Spectrogram 1	1	5804.076904	5804.20874	250	600
361	Waveform 1	1	5807.240967	5807.702393	125	550
361	Spectrogram 1	1	5807.240967	5807.702393	125	550
362	Waveform 1	1	5823.127197	5823.390869	105	400
362	Spectrogram 1	1	5823.127197	5823.390869	105	400
385	Waveform 1	1	6057.531494	6057.795166	135	600
385	Spectrogram 1	1	6057.531494	6057.795166	135	600
392	Waveform 1	1	6254.955811	6256.471924	85	650
392	Spectrogram 1	1	6254.955811	6256.471924	85	650
393	Waveform 1	1	6261.283936	6261.415771	200	650
393	Spectrogram 1	1	6261.283936	6261.415771	200	650
398	Waveform 1	1	6401.227783	6401.359619	150	650
398	Spectrogram 1	1	6401.227783	6401.359619	150	650
399	Waveform 1	1	6407.621826	6407.81958	105	400
399	Spectrogram 1	1	6407.621826	6407.81958	105	400
412	Waveform 1	1	6646.376709	6646.640381	115	650
412	Spectrogram 1	1	6646.376709	6646.640381	115	650
413	Waveform 1	1	6652.83667	6652.902588	200	450
413	Spectrogram 1	1	6652.83667	6652.902588	200	450
431	Waveform 1	1	7073.920654	7074.118408	125	450
431	Spectrogram 1	1	7073.920654	7074.118408	125	450
452	Waveform 1	1	7305.820068	7306.149658	75	500
452	Spectrogram 1	1	7305.820068	7306.149658	75	500
478	Waveform 1	1	7823.210205	7823.935303	105	700
478	Spectrogram 1	1	7823.210205	7823.935303	105	700
480	Waveform 1	1	7829.604248	7829.802002	125	550
480	Spectrogram 1	1	7829.604248	7829.802002	125	550
490	Waveform 1	1	7930.45874	7930.722412	75	450
490	Spectrogram 1	1	7930.45874	7930.722412	75	450
491	Waveform 1	1	7936.720947	7936.918701	150	550
491	Spectrogram 1	1	7936.720947	7936.918701	150	550
492	Waveform 1	1	7943.246826	7943.44458	200	500
492	Spectrogram 1	1	7943.246826	7943.44458	200	500
510	Waveform 1	1	8101.120361	8101.318115	135	750
510	Spectrogram 1	1	8101.120361	8101.318115	135	750
515	Waveform 1	1	8167.499756	8167.631592	200	450
515	Spectrogram 1	1	8167.499756	8167.631592	200	450
516	Waveform 1	1	8173.827881	8173.959717	200	750
516	Spectrogram 1	1	8173.827881	8173.959717	200	750
546	Waveform 1	1	8755.817627	8755.883545	200	450
546	Spectrogram 1	1	8755.817627	8755.883545	200	450
547	Waveform 1	1	8756.081299	8756.213135	250	850
547	Spectrogram 1	1	8756.081299	8756.213135	250	850
548	Waveform 1	1	8762.804932	8763.002686	200	850
548	Spectrogram 1	1	8762.804932	8763.002686	200	850
568	Waveform 1	1	9055.876221	9056.073975	105	500
568	Spectrogram 1	1	9055.876221	9056.073975	105	500
579	Waveform 1	1	9155.412354	9155.676025	105	300
579	Spectrogram 1	1	9155.412354	9155.676025	105	300
589	Waveform 1	1	9338.993896	9339.125732	150	450
589	Spectrogram 1	1	9338.993896	9339.125732	150	450
591	Waveform 1	1	9346.047119	9346.178955	200	450
591	Spectrogram 1	1	9346.047119	9346.178955	200	450
607	Waveform 1	1	9643.139404	9643.534912	85	700
607	Spectrogram 1	1	9643.139404	9643.534912	85	700
608	Waveform 1	1	9656.520752	9656.784424	115	550
608	Spectrogram 1	1	9656.520752	9656.784424	115	550
619	Waveform 1	1	9890.463623	9890.661377	200	850
619	Spectrogram 1	1	9890.463623	9890.661377	200	850
620	Waveform 1	1	9908.986572	9909.184326	200	750
620	Spectrogram 1	1	9908.986572	9909.184326	200	750
621	Waveform 1	1	9915.314697	9915.578369	115	500
621	Spectrogram 1	1	9915.314697	9915.578369	115	500
634	Waveform 1	1	10099.4895	10099.62134	350	650
634	Spectrogram 1	1	10099.4895	10099.62134	350	650
637	Waveform 1	1	10128.22974	10128.49341	65	350
637	Spectrogram 1	1	10128.22974	10128.49341	65	350
639	Waveform 1	1	10147.08228	10147.74146	115	650
639	Spectrogram 1	1	10147.08228	10147.74146	115	650
641	Waveform 1	1	10153.47632	10153.60815	250	700
641	Spectrogram 1	1	10153.47632	10153.60815	250	700
642	Waveform 1	1	10156.7063	10156.83813	300	650
642	Spectrogram 1	1	10156.7063	10156.83813	300	650
643	Waveform 1	1	10160.0022	10160.99097	65	850
643	Spectrogram 1	1	10160.0022	10160.99097	65	850
644	Waveform 1	1	10163.23218	10163.36401	350	750
644	Spectrogram 1	1	10163.23218	10163.36401	350	750
645	Waveform 1	1	10166.59399	10166.72583	300	750
645	Spectrogram 1	1	10166.59399	10166.72583	300	750
658	Waveform 1	1	10403.37134	10403.50317	150	550
658	Spectrogram 1	1	10403.37134	10403.50317	150	550
660	Waveform 1	1	10409.63354	10409.8313	75	800
660	Spectrogram 1	1	10409.63354	10409.8313	75	800
661	Waveform 1	1	10419.19165	10419.71899	85	500
661	Spectrogram 1	1	10419.19165	10419.71899	85	500
676	Waveform 1	1	10649.97046	10650.16821	115	550
676	Spectrogram 1	1	10649.97046	10650.16821	115	550
677	Waveform 1	1	10656.23267	10656.95776	95	550
677	Spectrogram 1	1	10656.23267	10656.95776	95	550
683	Waveform 1	1	10708.04419	10708.24194	115	400
683	Spectrogram 1	1	10708.04419	10708.24194	115	400
684	Waveform 1	1	10734.47729	10735.07056	125	850
684	Spectrogram 1	1	10734.47729	10735.07056	125	850
686	Waveform 1	1	10747.39722	10747.66089	250	650
686	Spectrogram 1	1	10747.39722	10747.66089	250	650
691	Waveform 1	1	10829.06958	10829.33325	200	500
691	Spectrogram 1	1	10829.06958	10829.33325	200	500
705	Waveform 1	1	10958.86206	10959.05981	115	350
705	Spectrogram 1	1	10958.86206	10959.05981	115	350
711	Waveform 1	1	11133.87427	11134.07202	115	650
711	Spectrogram 1	1	11133.87427	11134.07202	115	650
713	Waveform 1	1	11161.8894	11162.41675	85	850
713	Spectrogram 1	1	11161.8894	11162.41675	85	850
715	Waveform 1	1	11168.15161	11168.4812	105	600
715	Spectrogram 1	1	11168.15161	11168.4812	105	600
722	Waveform 1	1	11229.78491	11230.31226	65	550
722	Spectrogram 1	1	11229.78491	11230.31226	65	550
723	Waveform 1	1	11236.11304	11236.24487	200	650
723	Spectrogram 1	1	11236.11304	11236.24487	200	650
724	Waveform 1	1	11239.2771	11239.47485	115	550
724	Spectrogram 1	1	11239.2771	11239.47485	115	550
725	Waveform 1	1	11242.573	11243.36401	105	850
725	Spectrogram 1	1	11242.573	11243.36401	105	850
727	Waveform 1	1	11249.03296	11249.23071	125	650
727	Spectrogram 1	1	11249.03296	11249.23071	125	650
728	Waveform 1	1	11259.84351	11260.30493	85	300
728	Spectrogram 1	1	11259.84351	11260.30493	85	300
730	Waveform 1	1	11301.30591	11301.50366	75	300
730	Spectrogram 1	1	11301.30591	11301.50366	75	300
741	Waveform 1	1	11455.48804	11455.75171	115	750
741	Spectrogram 1	1	11455.48804	11455.75171	115	750
742	Waveform 1	1	11461.75024	11462.01392	115	600
742	Spectrogram 1	1	11461.75024	11462.01392	115	600
744	Waveform 1	1	11468.21021	11468.34204	150	500
744	Spectrogram 1	1	11468.21021	11468.34204	150	500
745	Waveform 1	1	11474.53833	11474.67017	450	600
745	Spectrogram 1	1	11474.53833	11474.67017	450	600
749	Waveform 1	1	11500.57593	11500.77368	135	600
749	Spectrogram 1	1	11500.57593	11500.77368	135	600
750	Waveform 1	1	11519.42847	11519.62622	125	400
750	Spectrogram 1	1	11519.42847	11519.62622	125	400
759	Waveform 1	1	11695.29761	11695.56128	135	650
759	Spectrogram 1	1	11695.29761	11695.56128	135	650
761	Waveform 1	1	11704.78979	11704.92163	300	550
761	Spectrogram 1	1	11704.78979	11704.92163	300	550
762	Waveform 1	1	11708.01978	11708.15161	350	650
762	Spectrogram 1	1	11708.01978	11708.15161	350	650
763	Waveform 1	1	11711.24976	11711.51343	95	850
763	Spectrogram 1	1	11711.24976	11711.51343	95	850
770	Waveform 1	1	11828.58374	11829.177	65	850
770	Spectrogram 1	1	11828.58374	11829.177	65	850
771	Waveform 1	1	11835.70288	11836.36206	115	850
771	Spectrogram 1	1	11835.70288	11836.36206	115	850
780	Waveform 1	1	12075.38062	12076.23755	85	550
780	Spectrogram 1	1	12075.38062	12076.23755	85	550
781	Waveform 1	1	12096.54028	12097.06763	85	300
781	Spectrogram 1	1	12096.54028	12097.06763	85	300
782	Waveform 1	1	12108.53735	12108.86694	65	300
782	Spectrogram 1	1	12108.53735	12108.86694	65	300
783	Waveform 1	1	12108.86694	12108.93286	150	400
783	Spectrogram 1	1	12108.86694	12108.93286	150	400
784	Waveform 1	1	12154.41626	12154.74585	85	600
784	Spectrogram 1	1	12154.41626	12154.74585	85	600
795	Waveform 1	1	12231.27661	12232.00171	75	850
795	Spectrogram 1	1	12231.27661	12232.00171	75	850
801	Waveform 1	1	12313.47632	12313.87183	105	550
801	Spectrogram 1	1	12313.47632	12313.87183	105	550
806	Waveform 1	1	12345.38062	12346.63306	65	500
806	Spectrogram 1	1	12345.38062	12346.63306	65	500
813	Waveform 1	1	12408.72778	12409.05737	85	750
813	Spectrogram 1	1	12408.72778	12409.05737	85	750
824	Waveform 1	1	12487.76343	12488.68628	115	850
824	Spectrogram 1	1	12487.76343	12488.68628	115	850
825	Waveform 1	1	12492.24585	12492.4436	105	350
825	Spectrogram 1	1	12492.24585	12492.4436	105	350
826	Waveform 1	1	12494.48706	12494.75073	95	850
826	Spectrogram 1	1	12494.48706	12494.75073	95	850
827	Waveform 1	1	12501.6062	12501.80396	105	350
827	Spectrogram 1	1	12501.6062	12501.80396	105	350
829	Waveform 1	1	12529.09399	12529.22583	135	450
829	Spectrogram 1	1	12529.09399	12529.22583	135	450
830	Waveform 1	1	12535.88354	12536.27905	115	650
830	Spectrogram 1	1	12535.88354	12536.27905	115	650
834	Waveform 1	1	12587.49731	12587.76099	125	400
834	Spectrogram 1	1	12587.49731	12587.76099	125	400
835	Waveform 1	1	12593.62769	12594.15503	135	500
835	Spectrogram 1	1	12593.62769	12594.15503	135	500
836	Waveform 1	1	12632.05786	12632.25562	200	850
836	Spectrogram 1	1	12632.05786	12632.25562	200	850
