Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	status
59	Spectrogram 1	1	1033.077758789	1035.289916992	1300.0	1450.0	y
60	Spectrogram 1	1	1050.254516601	1052.206420898	1300.0	1450.0	y
61	Spectrogram 1	1	1053.117309571	1054.548706055	1350.0	1500.0	y
62	Spectrogram 1	1	1071.465209961	1073.026733398	1250.0	1600.0	y
63	Spectrogram 1	1	1077.190795898	1078.492065430	1300.0	1450.0	y
64	Spectrogram 1	1	1082.395874023	1085.258666992	1250.0	1650.0	y
65	Spectrogram 1	1	1098.791870117	1100.613647461	1200.0	1450.0	y
66	Spectrogram 1	1	1108.941772461	1111.284057617	1200.0	1450.0	y
67	Spectrogram 1	1	1113.626342773	1114.667358398	1400.0	1550.0	y
68	Spectrogram 1	1	1120.132690430	1121.173706055	1300.0	1450.0	y
69	Spectrogram 1	1	1132.104370117	1133.145385742	1300.0	1450.0	y
70	Spectrogram 1	1	1143.815795898	1146.158081055	1300.0	1450.0	y
71	Spectrogram 1	1	1147.068969726	1148.760620117	1300.0	1450.0	y
72	Spectrogram 1	1	1155.787475586	1157.088745117	1350.0	1600.0	y
73	Spectrogram 1	1	1161.252807617	1162.293823242	1250.0	1400.0	y
74	Spectrogram 1	1	1163.595092773	1165.416870117	1200.0	1450.0	y
75	Spectrogram 1	1	1172.703979492	1174.525756836	1300.0	1550.0	y
76	Spectrogram 1	1	1175.306518555	1177.388549805	1300.0	1450.0	y
77	Spectrogram 1	1	1182.333374023	1183.894897461	1300.0	1500.0	y
78	Spectrogram 1	1	1193.133911133	1195.866577148	1300.0	1450.0	y
79	Spectrogram 1	1	1201.982543945	1203.413940430	1300.0	1450.0	y
80	Spectrogram 1	1	1212.002319336	1213.043334961	1300.0	1450.0	y
81	Spectrogram 1	1	1221.891967773	1223.973999023	1300.0	1600.0	y
82	Spectrogram 1	1	1226.316284180	1228.658569336	1300.0	1450.0	y
83	Spectrogram 1	1	1247.657104492	1249.739135742	1300.0	1600.0	y
84	Spectrogram 1	1	1256.765991211	1259.889038086	1200.0	1600.0	y
85	Spectrogram 1	1	1265.094116211	1267.176147461	1250.0	1600.0	y
86	Spectrogram 1	1	1282.531127930	1285.393920898	1300.0	1600.0	y
87	Spectrogram 1	1	1296.324584961	1297.365600586	1300.0	1450.0	y
88	Spectrogram 1	1	1307.515502930	1309.857788086	1200.0	1650.0	y
89	Spectrogram 1	1	1329.637084961	1331.719116211	1200.0	1600.0	y
90	Spectrogram 1	1	1333.020385742	1334.842163086	1200.0	1500.0	y
91	Spectrogram 1	1	1336.013305664	1337.965209961	1250.0	1450.0	y
92	Spectrogram 1	1	1340.047241211	1341.869018555	1300.0	1650.0	y
93	Spectrogram 1	1	1352.279174805	1354.361206055	1200.0	1700.0	y
94	Spectrogram 1	1	1362.949584961	1365.291870117	1200.0	1450.0	y
95	Spectrogram 1	1	1368.154663086	1370.757202148	1200.0	1550.0	y
96	Spectrogram 1	1	1376.222534180	1378.304565430	1300.0	1600.0	y
97	Spectrogram 1	1	1395.221069336	1396.522338867	1250.0	1550.0	y
98	Spectrogram 1	1	1410.315795898	1411.617065430	1300.0	1450.0	y
99	Spectrogram 1	1	1424.890014648	1426.191284180	1300.0	1450.0	y
100	Spectrogram 1	1	1439.984741211	1441.546264648	1350.0	1550.0	y
101	Spectrogram 1	1	1442.327026367	1443.888549805	1300.0	1700.0	y
102	Spectrogram 1	1	1447.792358399	1449.614135742	1300.0	1450.0	
103	Spectrogram 1	1	1461.846069336	1463.407592773	1200.0	1550.0	y
104	Spectrogram 1	1	1472.776733398	1474.858764648	1300.0	1500.0	y
105	Spectrogram 1	1	1476.680541992	1478.242065430	1450.0	1600.0	y
106	Spectrogram 1	1	1483.707397461	1485.008666992	1300.0	1450.0	y
107	Spectrogram 1	1	1492.035522461	1494.377807617	1300.0	1550.0	y
108	Spectrogram 1	1	1498.021362305	1500.363647461	1300.0	1500.0	y
109	Spectrogram 1	1	1501.925170898	1504.267456055	1200.0	1700.0	y
110	Spectrogram 1	1	1523.265991211	1525.087768555	1300.0	1550.0	y
111	Spectrogram 1	1	1541.223510742	1544.086303711	1150.0	1650.0	y
112	Spectrogram 1	1	1565.947631836	1567.509155273	1300.0	1600.0	y
113	Spectrogram 1	1	1571.673217773	1572.974487305	1300.0	1550.0	y
114	Spectrogram 1	1	1581.302612305	1584.425659180	1300.0	1600.0	y
115	Spectrogram 1	1	1583.384643555	1585.206420898	1400.0	1550.0	y
116	Spectrogram 1	1	1600.821655273	1603.163940430	1300.0	1500.0	y
117	Spectrogram 1	1	1605.766479492	1607.067749023	1300.0	1550.0	y
118	Spectrogram 1	1	1625.545776367	1627.107299805	1200.0	1450.0	y
119	Spectrogram 1	1	1629.449584961	1632.572631836	1150.0	1700.0	y
120	Spectrogram 1	1	1643.503295898	1644.544311523	1350.0	1500.0	y
121	Spectrogram 1	1	1661.851196289	1665.104370117	1300.0	1550.0	y
122	Spectrogram 1	1	1671.350463867	1672.651733398	1300.0	1550.0	y
123	Spectrogram 1	1	1687.486206055	1690.348999023	1100.0	1600.0	y
124	Spectrogram 1	1	1695.293823242	1698.156616211	1200.0	1700.0	y
125	Spectrogram 1	1	1715.853881836	1717.415405273	1250.0	1550.0	y
126	Spectrogram 1	1	1722.620483398	1724.962768555	1200.0	1500.0	y
127	Spectrogram 1	1	1731.208862305	1732.249877930	1100.0	1250.0	
128	Spectrogram 1	1	1747.604858398	1750.467651367	1100.0	1650.0	y
129	Spectrogram 1	1	1762.179077148	1763.220092773	1200.0	1350.0	
130	Spectrogram 1	1	1766.863647461	1768.164916992	1400.0	1550.0	y
131	Spectrogram 1	1	1773.630249023	1775.452026367	1150.0	1350.0	
132	Spectrogram 1	1	1777.273803711	1780.136596680	1200.0	1550.0	y
133	Spectrogram 1	1	1788.464721680	1791.067260742	1100.0	1600.0	y
134	Spectrogram 1	1	1792.368530273	1793.930053711	1250.0	1650.0	y
135	Spectrogram 1	1	1796.792846680	1801.217163086	1100.0	1700.0	y
136	Spectrogram 1	1	1812.408081055	1815.010620117	1200.0	1550.0	y
137	Spectrogram 1	1	1825.941284180	1828.023315430	1300.0	1650.0	y
138	Spectrogram 1	1	1828.804077148	1829.845092773	1350.0	1500.0	y
139	Spectrogram 1	1	1835.310424805	1837.912963867	1300.0	1550.0	y
140	Spectrogram 1	1	1844.679565430	1845.980834961	1300.0	1450.0	y
141	Spectrogram 1	1	1847.802612305	1851.185913086	1300.0	1550.0	y
142	Spectrogram 1	1	1856.651245117	1859.514038086	1100.0	1600.0	y
143	Spectrogram 1	1	1860.294799805	1862.116577148	1300.0	1600.0	y
144	Spectrogram 1	1	1880.854858398	1883.197143555	1300.0	1700.0	y
145	Spectrogram 1	1	1887.361206055	1889.443237305	1100.0	1600.0	y
146	Spectrogram 1	1	1913.126342773	1915.728881836	1200.0	1600.0	y
147	Spectrogram 1	1	1918.071166992	1920.673706055	1300.0	1600.0	y
148	Spectrogram 1	1	1927.180053711	1928.741577148	1300.0	1600.0	y
149	Spectrogram 1	1	1935.247924805	1937.069702148	1300.0	1550.0	y
150	Spectrogram 1	1	1944.617065430	1946.178588867	1250.0	1450.0	y
151	Spectrogram 1	1	1953.465698242	1955.027221680	1200.0	1450.0	y
152	Spectrogram 1	1	1966.218139648	1969.861694336	1150.0	1650.0	y
153	Spectrogram 1	1	1983.525024414	1984.956420898	1350.0	1550.0	y
154	Spectrogram 1	1	1992.243530273	1994.846069336	1200.0	1650.0	y
155	Spectrogram 1	1	1996.667846680	1997.708862305	1150.0	1300.0	
156	Spectrogram 1	1	2000.571655273	2003.174194336	1300.0	1450.0	y
157	Spectrogram 1	1	2015.145874023	2016.967651367	1200.0	1550.0	y
158	Spectrogram 1	1	2020.611206055	2023.213745117	1200.0	1600.0	y
159	Spectrogram 1	1	2025.816284180	2028.418823242	1200.0	1650.0	y
160	Spectrogram 1	1	2035.705932617	2038.048217773	1300.0	1550.0	y
161	Spectrogram 1	1	2040.390502930	2042.732788086	1200.0	1600.0	y
162	Spectrogram 1	1	2043.773803711	2045.595581055	1300.0	1450.0	y
163	Spectrogram 1	1	2067.456909180	2070.579956055	1100.0	1750.0	y
164	Spectrogram 1	1	2076.045288086	2078.387573242	1300.0	1700.0	y
165	Spectrogram 1	1	2083.852905273	2085.414428711	1300.0	1600.0	y
166	Spectrogram 1	1	2087.236206055	2089.057983398	1300.0	1550.0	y
167	Spectrogram 1	1	2096.345092773	2097.906616211	1150.0	1550.0	y
168	Spectrogram 1	1	2102.851440430	2104.673217773	1200.0	1550.0	y
169	Spectrogram 1	1	2116.384643555	2118.206420898	1150.0	1550.0	y
170	Spectrogram 1	1	2120.288452148	2122.630737305	1250.0	1600.0	y
171	Spectrogram 1	1	2127.315307617	2128.356323242	1500.0	1650.0	
172	Spectrogram 1	1	2129.657592773	2132.520385742	1300.0	1600.0	y
173	Spectrogram 1	1	2142.149780273	2143.190795898	1450.0	1600.0	y
174	Spectrogram 1	1	2152.559936523	2155.162475586	1200.0	1600.0	y
175	Spectrogram 1	1	2157.244506836	2159.847045898	1250.0	1550.0	y
176	Spectrogram 1	1	2170.257202148	2173.119995117	1050.0	1750.0	y
177	Spectrogram 1	1	2186.132690430	2187.433959961	1300.0	1450.0	y
178	Spectrogram 1	1	2191.337768555	2193.159545898	1250.0	1550.0	y
179	Spectrogram 1	1	2199.926147461	2201.747924805	1200.0	1550.0	y
180	Spectrogram 1	1	2209.035034180	2211.377319336	1200.0	1650.0	y
181	Spectrogram 1	1	2211.897827148	2214.240112305	1300.0	1450.0	y
182	Spectrogram 1	1	2217.883666992	2220.486206055	1150.0	1650.0	y
183	Spectrogram 1	1	2234.019409180	2236.361694336	1000.0	1400.0	y
184	Spectrogram 1	1	2239.484741211	2240.525756836	1300.0	1450.0	y
185	Spectrogram 1	1	2242.347534180	2244.429565430	1300.0	1550.0	y
186	Spectrogram 1	1	2254.319213867	2256.401245117	1200.0	1550.0	y
187	Spectrogram 1	1	2260.305053711	2262.647338867	1200.0	1600.0	y
188	Spectrogram 1	1	2265.770385742	2267.071655273	1250.0	1500.0	y
189	Spectrogram 1	1	2282.426635742	2283.988159180	1200.0	1550.0	y
190	Spectrogram 1	1	2286.330444336	2288.152221680	1100.0	1650.0	y
191	Spectrogram 1	1	2296.870727539	2299.082885742	1300.0	1450.0	y
192	Spectrogram 1	1	2303.767456055	2305.849487305	1200.0	1600.0	y
193	Spectrogram 1	1	2314.698120117	2317.821166992	1150.0	1750.0	y
194	Spectrogram 1	1	2323.807006836	2326.409545898	1300.0	1600.0	y
195	Spectrogram 1	1	2333.176147461	2334.217163086	1300.0	1450.0	y
196	Spectrogram 1	1	2339.422241211	2340.983764648	1300.0	1450.0	y
197	Spectrogram 1	1	2347.490112305	2350.092651367	1150.0	1750.0	y
198	Spectrogram 1	1	2356.338745117	2358.681030273	1300.0	1600.0	y
199	Spectrogram 1	1	2368.830932617	2370.132202148	1200.0	1450.0	y
200	Spectrogram 1	1	2378.720581055	2381.323120117	1200.0	1650.0	y
201	Spectrogram 1	1	2384.446166992	2386.007690430	1100.0	1550.0	y
202	Spectrogram 1	1	2394.075561523	2395.116577148	1550.0	1700.0	
203	Spectrogram 1	1	2402.924194336	2405.786987305	1250.0	1700.0	y
204	Spectrogram 1	1	2411.512573242	2415.936889648	1150.0	1650.0	y
205	Spectrogram 1	1	2420.361206055	2421.662475586	1000.0	1150.0	y
206	Spectrogram 1	1	2439.489868164	2441.962280273	1300.0	1450.0	y
207	Spectrogram 1	1	2443.003295898	2445.345581055	1300.0	1550.0	y
208	Spectrogram 1	1	2451.071166992	2454.974975586	1200.0	1750.0	y
209	Spectrogram 1	1	2458.618530273	2460.440307617	1100.0	1550.0	y
210	Spectrogram 1	1	2465.905639648	2468.768432617	1150.0	1650.0	y
211	Spectrogram 1	1	2472.932495117	2475.274780273	1200.0	1600.0	y
212	Spectrogram 1	1	2485.684936523	2486.725952148	1300.0	1450.0	y
213	Spectrogram 1	1	2500.779663086	2504.423217773	1100.0	1750.0	y
214	Spectrogram 1	1	2515.614135742	2517.956420898	1200.0	1600.0	y
215	Spectrogram 1	1	2538.516479492	2540.858764648	1200.0	1650.0	y
216	Spectrogram 1	1	2544.762573242	2547.625366211	1200.0	1600.0	y
217	Spectrogram 1	1	2559.336791992	2560.377807617	1300.0	1450.0	y
218	Spectrogram 1	1	2564.281616211	2566.363647461	1200.0	1450.0	y
219	Spectrogram 1	1	2576.773803711	2578.075073242	1300.0	1500.0	y
220	Spectrogram 1	1	2582.239135742	2584.060913086	1300.0	1600.0	y
221	Spectrogram 1	1	2590.307006836	2591.868530273	1300.0	1550.0	y
222	Spectrogram 1	1	2592.128784180	2594.210815430	1200.0	1450.0	y
223	Spectrogram 1	1	2594.991577148	2597.333862305	1000.0	1300.0	
224	Spectrogram 1	1	2611.387573242	2612.949096680	1300.0	1600.0	y
225	Spectrogram 1	1	2619.715698242	2622.838745117	1200.0	1550.0	y
226	Spectrogram 1	1	2636.892456055	2638.974487305	1100.0	1550.0	y
227	Spectrogram 1	1	2649.905151367	2651.987182617	1200.0	1550.0	y
228	Spectrogram 1	1	2659.014038086	2661.876831055	1150.0	1750.0	y
229	Spectrogram 1	1	2678.793334961	2682.176635742	1150.0	1700.0	y
230	Spectrogram 1	1	2685.039428711	2687.381713867	1200.0	1600.0	y
231	Spectrogram 1	1	2689.723999023	2691.545776367	1300.0	1550.0	y
232	Spectrogram 1	1	2704.037963867	2706.900756836	1200.0	1700.0	y
233	Spectrogram 1	1	2715.228881836	2717.050659180	1300.0	1600.0	y
234	Spectrogram 1	1	2718.872436523	2721.214721680	1200.0	1600.0	y
235	Spectrogram 1	1	2727.460815430	2730.063354492	1200.0	1600.0	y
236	Spectrogram 1	1	2732.015258789	2733.706909180	1000.0	1150.0	y
237	Spectrogram 1	1	2752.965698242	2754.787475586	1050.0	1550.0	y
238	Spectrogram 1	1	2759.472045898	2761.293823242	1150.0	1600.0	y
239	Spectrogram 1	1	2764.937377930	2767.279663086	1150.0	1650.0	y
240	Spectrogram 1	1	2777.429565430	2779.251342773	1250.0	1500.0	y
241	Spectrogram 1	1	2780.292358398	2781.853881836	1300.0	1450.0	y
242	Spectrogram 1	1	2791.873657227	2793.044799805	1350.0	1500.0	
243	Spectrogram 1	1	2810.742065430	2813.084350586	1300.0	1600.0	y
244	Spectrogram 1	1	2818.029174805	2819.590698242	1000.0	1450.0	y
245	Spectrogram 1	1	2823.494506836	2824.795776367	1050.0	1200.0	
246	Spectrogram 1	1	2832.082885742	2833.644409180	1150.0	1550.0	y
247	Spectrogram 1	1	2849.519897461	2850.821166992	1300.0	1450.0	
248	Spectrogram 1	1	2852.122436523	2854.464721680	1200.0	1450.0	y
249	Spectrogram 1	1	2859.149291992	2860.710815430	1300.0	1450.0	y
250	Spectrogram 1	1	2861.491577148	2864.094116211	1200.0	1700.0	y
251	Spectrogram 1	1	2868.778686523	2870.340209961	1150.0	1650.0	y
252	Spectrogram 1	1	2871.381225586	2873.463256836	1300.0	1600.0	y
253	Spectrogram 1	1	2881.270874023	2883.352905273	1300.0	1600.0	y
254	Spectrogram 1	1	2896.365600586	2897.666870117	1000.0	1550.0	y
255	Spectrogram 1	1	2903.132202148	2904.693725586	1200.0	1650.0	y
256	Spectrogram 1	1	2908.077026367	2910.419311523	1200.0	1550.0	y
257	Spectrogram 1	1	2919.267944336	2920.569213867	1400.0	1600.0	y
258	Spectrogram 1	1	2930.979370117	2933.321655273	1200.0	1600.0	y
259	Spectrogram 1	1	2938.266479492	2940.608764648	1200.0	1450.0	y
260	Spectrogram 1	1	2941.649780273	2943.211303711	1200.0	1600.0	y
261	Spectrogram 1	1	2946.854858398	2948.936889648	1300.0	1550.0	y
262	Spectrogram 1	1	2952.320190430	2954.141967773	1200.0	1600.0	y
263	Spectrogram 1	1	2956.744506836	2957.785522461	1300.0	1450.0	y
264	Spectrogram 1	1	2960.648315430	2962.470092773	1200.0	1600.0	y
265	Spectrogram 1	1	2964.291870117	2965.593139648	1300.0	1550.0	y
266	Spectrogram 1	1	2967.154663086	2968.716186523	1300.0	1450.0	y
267	Spectrogram 1	1	2975.222534180	2976.263549805	1300.0	1550.0	y
268	Spectrogram 1	1	2983.810913086	2986.413452148	1300.0	1450.0	y
269	Spectrogram 1	1	2992.919799805	2995.782592773	1300.0	1700.0	y
270	Spectrogram 1	1	3001.508178711	3002.809448242	1250.0	1450.0	y
271	Spectrogram 1	1	3004.110717773	3005.411987305	1300.0	1550.0	y
272	Spectrogram 1	1	3016.342651367	3017.383666992	1200.0	1550.0	y
273	Spectrogram 1	1	3018.684936523	3020.766967773	1200.0	1450.0	y
274	Spectrogram 1	1	3024.931030273	3027.273315430	1200.0	1700.0	y
275	Spectrogram 1	1	3029.095092773	3030.396362305	1200.0	1500.0	y
276	Spectrogram 1	1	3050.956420898	3053.558959961	1050.0	1700.0	y
277	Spectrogram 1	1	3055.901245117	3057.202514648	1400.0	1600.0	y
278	Spectrogram 1	1	3057.983276367	3059.805053711	1300.0	1600.0	y
279	Spectrogram 1	1	3062.277465820	3063.708862305	1300.0	1450.0	y
280	Spectrogram 1	1	3069.564575195	3070.735717773	1300.0	1450.0	y
281	Spectrogram 1	1	3077.242065430	3080.104858398	1300.0	1600.0	y
282	Spectrogram 1	1	3083.488159180	3085.049682617	1150.0	1500.0	y
283	Spectrogram 1	1	3087.652221680	3089.994506836	1150.0	1600.0	y
284	Spectrogram 1	1	3092.857299805	3095.980346680	1000.0	1550.0	y
285	Spectrogram 1	1	3097.281616211	3098.582885742	1300.0	1600.0	y
286	Spectrogram 1	1	3098.843139648	3099.884155273	1250.0	1500.0	y
287	Spectrogram 1	1	3102.486694336	3103.787963867	1150.0	1450.0	y
288	Spectrogram 1	1	3111.075073242	3113.937866211	1100.0	1700.0	y
289	Spectrogram 1	1	3120.704467773	3122.005737305	1200.0	1600.0	y
290	Spectrogram 1	1	3124.348022461	3126.169799805	1300.0	1450.0	y
291	Spectrogram 1	1	3137.100463867	3139.703002930	1050.0	1700.0	y
292	Spectrogram 1	1	3142.565795898	3143.606811523	1200.0	1550.0	y
293	Spectrogram 1	1	3144.387573242	3147.510620117	1300.0	1500.0	y
294	Spectrogram 1	1	3148.291381836	3149.592651367	1200.0	1350.0	y
295	Spectrogram 1	1	3151.674682617	3154.016967773	1300.0	1550.0	y
296	Spectrogram 1	1	3159.222045898	3162.084838867	1050.0	1600.0	y
297	Spectrogram 1	1	3168.591186523	3170.933471680	1200.0	1500.0	y
298	Spectrogram 1	1	3177.960327148	3179.521850586	1100.0	1600.0	y
299	Spectrogram 1	1	3186.808959961	3188.630737305	1300.0	1550.0	y
300	Spectrogram 1	1	3194.876831055	3197.219116211	1200.0	1700.0	y
301	Spectrogram 1	1	3202.163940430	3204.506225586	1300.0	1550.0	y
302	Spectrogram 1	1	3207.369018555	3210.231811523	1300.0	1700.0	y
303	Spectrogram 1	1	3213.875366211	3215.697143555	1300.0	1500.0	y
304	Spectrogram 1	1	3216.998413086	3218.820190430	1300.0	1600.0	y
305	Spectrogram 1	1	3219.861206055	3221.162475586	1400.0	1550.0	y
306	Spectrogram 1	1	3227.408569336	3230.011108398	1200.0	1600.0	y
307	Spectrogram 1	1	3239.380249023	3240.421264648	1300.0	1450.0	y
308	Spectrogram 1	1	3241.462280273	3243.544311523	1150.0	1550.0	y
309	Spectrogram 1	1	3247.187866211	3249.269897461	1050.0	1350.0	
310	Spectrogram 1	1	3258.378784180	3260.721069336	1200.0	1600.0	y
311	Spectrogram 1	1	3268.788940430	3270.350463867	1200.0	1550.0	y
312	Spectrogram 1	1	3275.815795898	3278.158081055	1200.0	1550.0	y
313	Spectrogram 1	1	3278.418334961	3281.281127930	1200.0	1700.0	y
314	Spectrogram 1	1	3287.657348633	3289.088745117	1300.0	1450.0	y
315	Spectrogram 1	1	3290.910522461	3292.211791992	1200.0	1550.0	y
316	Spectrogram 1	1	3297.156616211	3298.457885742	1200.0	1550.0	y
317	Spectrogram 1	1	3301.841186523	3304.183471680	1150.0	1600.0	y
318	Spectrogram 1	1	3305.224487305	3307.046264648	1250.0	1700.0	y
319	Spectrogram 1	1	3316.675659180	3318.757690430	1250.0	1600.0	y
320	Spectrogram 1	1	3328.647338867	3330.989624023	1200.0	1600.0	y
321	Spectrogram 1	1	3339.578002930	3342.701049805	1300.0	1700.0	y
322	Spectrogram 1	1	3358.576538086	3360.918823242	1200.0	1550.0	y
323	Spectrogram 1	1	3364.302124023	3366.904663086	1050.0	1650.0	y
324	Spectrogram 1	1	3368.466186523	3369.767456055	1300.0	1650.0	y
325	Spectrogram 1	1	3386.683959961	3388.245483398	1300.0	1450.0	y
326	Spectrogram 1	1	3392.930053711	3394.751831055	1250.0	1550.0	y
327	Spectrogram 1	1	3396.703735352	3398.655639648	1300.0	1450.0	y
328	Spectrogram 1	1	3404.901733398	3406.463256836	1300.0	1600.0	y
329	Spectrogram 1	1	3409.326049805	3410.627319336	1200.0	1550.0	y
330	Spectrogram 1	1	3415.572143555	3416.873413086	1300.0	1500.0	y
331	Spectrogram 1	1	3419.215698242	3420.256713867	1150.0	1450.0	y
332	Spectrogram 1	1	3428.584838867	3431.187377930	1000.0	1450.0	y
333	Spectrogram 1	1	3435.871948242	3438.214233398	1000.0	1650.0	y
334	Spectrogram 1	1	3441.857788086	3443.679565430	1300.0	1450.0	y
335	Spectrogram 1	1	3452.267944336	3453.569213867	1300.0	1550.0	y
336	Spectrogram 1	1	3459.034545898	3461.897338867	1200.0	1650.0	y
337	Spectrogram 1	1	3462.157592773	3463.979370117	1300.0	1500.0	y
338	Spectrogram 1	1	3468.663940430	3469.704956055	1350.0	1600.0	y
339	Spectrogram 1	1	3471.266479492	3472.828002930	1300.0	1550.0	y
340	Spectrogram 1	1	3480.895874023	3483.758666992	1200.0	1550.0	y
341	Spectrogram 1	1	3486.100952148	3488.443237305	1200.0	1700.0	y
342	Spectrogram 1	1	3497.812377930	3499.634155273	1050.0	1700.0	y
343	Spectrogram 1	1	3508.482788086	3510.304565430	1200.0	1450.0	y
344	Spectrogram 1	1	3513.817993164	3514.989135742	1400.0	1550.0	y
345	Spectrogram 1	1	3517.331420898	3519.933959961	1200.0	1600.0	y
346	Spectrogram 1	1	3522.276245117	3524.618530273	1200.0	1700.0	y
347	Spectrogram 1	1	3530.083862305	3531.905639648	1200.0	1700.0	y
348	Spectrogram 1	1	3534.508178711	3536.850463867	1300.0	1550.0	y
349	Spectrogram 1	1	3543.877319336	3546.219604492	1200.0	1700.0	y
350	Spectrogram 1	1	3557.670776367	3559.752807617	1200.0	1550.0	y
351	Spectrogram 1	1	3562.095092773	3563.136108398	1300.0	1450.0	y
352	Spectrogram 1	1	3573.806518555	3576.669311523	1200.0	1700.0	y
353	Spectrogram 1	1	3583.175659180	3585.517944336	1200.0	1550.0	y
354	Spectrogram 1	1	3585.517944336	3587.599975586	1300.0	1550.0	y
355	Spectrogram 1	1	3588.120483398	3589.161499023	1200.0	1350.0	
356	Spectrogram 1	1	3595.407592773	3596.708862305	1550.0	1700.0	
357	Spectrogram 1	1	3599.571655273	3600.612670898	1300.0	1550.0	y
358	Spectrogram 1	1	3603.995971680	3606.598510742	1200.0	1650.0	y
359	Spectrogram 1	1	3611.543334961	3612.844604492	1150.0	1550.0	y
