Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)	Mooring
14	Waveform 1	1	1155.165211176	1155.800803104	100.2	148.6	AU-BS02b_20151101_082345.wav	105.165	BS15_AU_02b
14	Spectrogram 1	1	1155.165211176	1155.800803104	100.2	148.6	AU-BS02b_20151101_082345.wav	105.165	BS15_AU_02b
15	Waveform 1	1	1197.004218969	1198.148284438	77.1	192.3	AU-BS02b_20151101_082345.wav	147.004	BS15_AU_02b
15	Spectrogram 1	1	1197.004218969	1198.148284438	77.1	192.3	AU-BS02b_20151101_082345.wav	147.004	BS15_AU_02b
16	Waveform 1	1	1208.169450490	1209.271143164	63.3	187.7	AU-BS02b_20151101_082345.wav	158.169	BS15_AU_02b
16	Spectrogram 1	1	1208.169450490	1209.271143164	63.3	187.7	AU-BS02b_20151101_082345.wav	158.169	BS15_AU_02b
17	Waveform 1	1	1221.207614489	1221.970324802	72.5	160.1	AU-BS02b_20151101_082345.wav	171.208	BS15_AU_02b
17	Spectrogram 1	1	1221.207614489	1221.970324802	72.5	160.1	AU-BS02b_20151101_082345.wav	171.208	BS15_AU_02b
18	Waveform 1	1	1236.716057513	1237.394022236	65.6	194.7	AU-BS02b_20151101_082345.wav	186.716	BS15_AU_02b
18	Spectrogram 1	1	1236.716057513	1237.394022236	65.6	194.7	AU-BS02b_20151101_082345.wav	186.716	BS15_AU_02b
19	Waveform 1	1	1243.199095171	1244.194855857	56.4	160.1	AU-BS02b_20151101_082345.wav	193.199	BS15_AU_02b
19	Spectrogram 1	1	1243.199095171	1244.194855857	56.4	160.1	AU-BS02b_20151101_082345.wav	193.199	BS15_AU_02b
20	Waveform 1	1	1268.461810570	1269.160961690	65.6	162.4	AU-BS02b_20151101_082345.wav	218.462	BS15_AU_02b
20	Spectrogram 1	1	1268.461810570	1269.160961690	65.6	162.4	AU-BS02b_20151101_082345.wav	218.462	BS15_AU_02b
21	Waveform 1	1	1293.343170813	1294.275372306	74.8	192.3	AU-BS02b_20151101_082730.wav	18.343	BS15_AU_02b
21	Spectrogram 1	1	1293.343170813	1294.275372306	74.8	192.3	AU-BS02b_20151101_082730.wav	18.343	BS15_AU_02b
22	Waveform 1	1	1326.220332431	1327.343211503	74.8	160.1	AU-BS02b_20151101_082730.wav	51.220	BS15_AU_02b
22	Spectrogram 1	1	1326.220332431	1327.343211503	74.8	160.1	AU-BS02b_20151101_082730.wav	51.220	BS15_AU_02b
24	Waveform 1	1	1353.411010009	1354.216093117	74.8	141.7	AU-BS02b_20151101_082730.wav	78.411	BS15_AU_02b
24	Spectrogram 1	1	1353.411010009	1354.216093117	74.8	141.7	AU-BS02b_20151101_082730.wav	78.411	BS15_AU_02b
25	Waveform 1	1	1367.436405203	1368.135556323	63.3	162.4	AU-BS02b_20151101_082730.wav	92.436	BS15_AU_02b
25	Spectrogram 1	1	1367.436405203	1368.135556323	63.3	162.4	AU-BS02b_20151101_082730.wav	92.436	BS15_AU_02b
26	Waveform 1	1	1544.563554106	1545.368637214	63.3	141.7	AU-BS02b_20151101_083345.wav	119.564	BS15_AU_02b
26	Spectrogram 1	1	1544.563554106	1545.368637214	63.3	141.7	AU-BS02b_20151101_083345.wav	119.564	BS15_AU_02b
27	Waveform 1	1	1599.728805973	1600.533889081	67.9	167.0	AU-BS02b_20151101_083345.wav	174.729	BS15_AU_02b
27	Spectrogram 1	1	1599.728805973	1600.533889081	67.9	167.0	AU-BS02b_20151101_083345.wav	174.729	BS15_AU_02b
28	Waveform 1	1	1614.580470672	1615.597417756	58.7	167.0	AU-BS02b_20151101_083345.wav	189.580	BS15_AU_02b
28	Spectrogram 1	1	1614.580470672	1615.597417756	58.7	167.0	AU-BS02b_20151101_083345.wav	189.580	BS15_AU_02b
29	Waveform 1	1	1627.067788334	1627.872871442	72.5	162.4	AU-BS02b_20151101_083345.wav	202.068	BS15_AU_02b
29	Spectrogram 1	1	1627.067788334	1627.872871442	72.5	162.4	AU-BS02b_20151101_083345.wav	202.068	BS15_AU_02b
30	Waveform 1	1	1643.360128069	1644.080465586	86.4	153.2	AU-BS02b_20151101_083345.wav	218.360	BS15_AU_02b
30	Spectrogram 1	1	1643.360128069	1644.080465586	86.4	153.2	AU-BS02b_20151101_083345.wav	218.360	BS15_AU_02b
31	Waveform 1	1	1857.495725082	1858.449112973	107.1	208.5	AU-BS02b_20151101_085000.wav	207.496	BS15_AU_02b
31	Spectrogram 1	1	1857.495725082	1858.449112973	107.1	208.5	AU-BS02b_20151101_085000.wav	207.496	BS15_AU_02b
32	Waveform 1	1	1865.970284112	1866.775367220	95.6	178.5	AU-BS02b_20151101_085000.wav	215.970	BS15_AU_02b
32	Spectrogram 1	1	1865.970284112	1866.775367220	95.6	178.5	AU-BS02b_20151101_085000.wav	215.970	BS15_AU_02b
33	Waveform 1	1	2074.961836001	2075.788105507	86.4	146.3	AU-BS02b_20151106_131000.wav	199.962	BS15_AU_02b
33	Spectrogram 1	1	2074.961836001	2075.788105507	86.4	146.3	AU-BS02b_20151106_131000.wav	199.962	BS15_AU_02b
34	Waveform 1	1	2086.338931499	2087.038082618	77.1	132.4	AU-BS02b_20151106_131000.wav	211.339	BS15_AU_02b
34	Spectrogram 1	1	2086.338931499	2087.038082618	77.1	132.4	AU-BS02b_20151106_131000.wav	211.339	BS15_AU_02b
35	Waveform 1	1	2095.627103127	2096.601677415	77.1	185.4	AU-BS02b_20151106_131000.wav	220.627	BS15_AU_02b
35	Spectrogram 1	1	2095.627103127	2096.601677415	77.1	185.4	AU-BS02b_20151106_131000.wav	220.627	BS15_AU_02b
36	Waveform 1	1	2102.194886375	2102.745732712	111.7	180.8	AU-BS02b_20151106_185345.wav	2.195	BS15_AU_02b
36	Spectrogram 1	1	2102.194886375	2102.745732712	111.7	180.8	AU-BS02b_20151106_185345.wav	2.195	BS15_AU_02b
37	Waveform 1	1	2144.817790877	2145.538128395	95.6	150.9	AU-BS02b_20151106_185345.wav	44.818	BS15_AU_02b
37	Spectrogram 1	1	2144.817790877	2145.538128395	95.6	150.9	AU-BS02b_20151106_185345.wav	44.818	BS15_AU_02b
38	Waveform 1	1	2195.398251377	2195.906724919	95.6	148.6	AU-BS02b_20151106_185345.wav	95.398	BS15_AU_02b
38	Spectrogram 1	1	2195.398251377	2195.906724919	95.6	148.6	AU-BS02b_20151106_185345.wav	95.398	BS15_AU_02b
39	Waveform 1	1	2214.940639431	2215.470299371	107.1	176.2	AU-BS02b_20151106_185345.wav	114.941	BS15_AU_02b
39	Spectrogram 1	1	2214.940639431	2215.470299371	107.1	176.2	AU-BS02b_20151106_185345.wav	114.941	BS15_AU_02b
40	Waveform 1	1	2390.368596524	2391.321984415	84.1	162.4	AU-BS02b_20151106_190345.wav	65.369	BS15_AU_02b
40	Spectrogram 1	1	2390.368596524	2391.321984415	84.1	162.4	AU-BS02b_20151106_190345.wav	65.369	BS15_AU_02b
41	Waveform 1	1	2403.936420462	2404.910994751	107.1	180.8	AU-BS02b_20151106_190345.wav	78.936	BS15_AU_02b
41	Spectrogram 1	1	2403.936420462	2404.910994751	107.1	180.8	AU-BS02b_20151106_190345.wav	78.936	BS15_AU_02b
42	Waveform 1	1	2441.211823286	2441.444873659	114.0	176.2	AU-BS02b_20151106_190345.wav	116.212	BS15_AU_02b
42	Spectrogram 1	1	2441.211823286	2441.444873659	114.0	176.2	AU-BS02b_20151106_190345.wav	116.212	BS15_AU_02b
43	Waveform 1	1	2471.622833295	2472.237238825	102.5	169.3	AU-BS02b_20151106_190345.wav	146.623	BS15_AU_02b
43	Spectrogram 1	1	2471.622833295	2472.237238825	102.5	169.3	AU-BS02b_20151106_190345.wav	146.623	BS15_AU_02b
44	Waveform 1	1	2503.283840761	2503.855873496	120.9	180.8	AU-BS02b_20151106_190345.wav	178.284	BS15_AU_02b
44	Spectrogram 1	1	2503.283840761	2503.855873496	120.9	180.8	AU-BS02b_20151106_190345.wav	178.284	BS15_AU_02b
45	Waveform 1	1	2515.008448110	2515.919463206	95.6	183.1	AU-BS02b_20151106_190345.wav	190.008	BS15_AU_02b
45	Spectrogram 1	1	2515.008448110	2515.919463206	95.6	183.1	AU-BS02b_20151106_190345.wav	190.008	BS15_AU_02b
46	Waveform 1	1	2631.292329562	2632.478767826	70.2	178.5	AU-BS02b_20151107_000000.wav	81.292	BS15_AU_02b
46	Spectrogram 1	1	2631.292329562	2632.478767826	70.2	178.5	AU-BS02b_20151107_000000.wav	81.292	BS15_AU_02b
47	Waveform 1	1	2665.864402987	2666.733045287	72.5	137.0	AU-BS02b_20151107_000000.wav	115.864	BS15_AU_02b
47	Spectrogram 1	1	2665.864402987	2666.733045287	72.5	137.0	AU-BS02b_20151107_000000.wav	115.864	BS15_AU_02b
48	Waveform 1	1	2830.169440318	2831.525369763	107.1	178.5	AU-BS02b_20151107_095345.wav	55.169	BS15_AU_02b
48	Spectrogram 1	1	2830.169440318	2831.525369763	107.1	178.5	AU-BS02b_20151107_095345.wav	55.169	BS15_AU_02b
49	Waveform 1	1	3086.186417919	3087.118619412	81.7	155.5	AU-BS02b_20151107_100000.wav	86.186	BS15_AU_02b
49	Spectrogram 1	1	3086.186417919	3087.118619412	81.7	155.5	AU-BS02b_20151107_100000.wav	86.186	BS15_AU_02b
51	Waveform 1	1	3272.453372632	3273.533878908	79.4	155.5	AU-BS02b_20151107_100345.wav	47.453	BS15_AU_02b
51	Spectrogram 1	1	3272.453372632	3273.533878908	79.4	155.5	AU-BS02b_20151107_100345.wav	47.453	BS15_AU_02b
52	Waveform 1	1	3344.419437775	3345.372825666	95.6	169.3	AU-BS02b_20151107_100345.wav	119.419	BS15_AU_02b
52	Spectrogram 1	1	3344.419437775	3345.372825666	95.6	169.3	AU-BS02b_20151107_100345.wav	119.419	BS15_AU_02b
53	Waveform 1	1	3395.694891461	3397.177939291	97.9	167.0	AU-BS02b_20151107_100345.wav	170.695	BS15_AU_02b
53	Spectrogram 1	1	3395.694891461	3397.177939291	97.9	167.0	AU-BS02b_20151107_100345.wav	170.695	BS15_AU_02b
54	Waveform 1	1	3597.915234065	3599.122858726	104.8	226.9	AU-BS02b_20151110_070000.wav	147.915	BS15_AU_02b
54	Spectrogram 1	1	3597.915234065	3599.122858726	104.8	226.9	AU-BS02b_20151110_070000.wav	147.915	BS15_AU_02b
55	Waveform 1	1	3706.338962016	3707.122858726	93.3	141.7	AU-BS02b_20151115_073730.wav	31.339	BS15_AU_02b
55	Spectrogram 1	1	3706.338962016	3707.122858726	93.3	141.7	AU-BS02b_20151115_073730.wav	31.339	BS15_AU_02b
56	Waveform 1	1	3719.410969319	3720.449102800	44.9	123.2	AU-BS02b_20151115_073730.wav	44.411	BS15_AU_02b
56	Spectrogram 1	1	3719.410969319	3720.449102800	44.9	123.2	AU-BS02b_20151115_073730.wav	44.411	BS15_AU_02b
57	Waveform 1	1	3745.580480845	3746.385563953	84.1	139.4	AU-BS02b_20151115_073730.wav	70.581	BS15_AU_02b
57	Spectrogram 1	1	3745.580480845	3746.385563953	84.1	139.4	AU-BS02b_20151115_073730.wav	70.581	BS15_AU_02b
58	Waveform 1	1	3757.338931499	3758.059269016	77.1	139.4	AU-BS02b_20151115_073730.wav	82.339	BS15_AU_02b
58	Spectrogram 1	1	3757.338931499	3758.059269016	77.1	139.4	AU-BS02b_20151115_073730.wav	82.339	BS15_AU_02b
59	Waveform 1	1	3770.673705063	3771.627092954	81.7	150.9	AU-BS02b_20151115_073730.wav	95.674	BS15_AU_02b
59	Spectrogram 1	1	3770.673705063	3771.627092954	81.7	150.9	AU-BS02b_20151115_073730.wav	95.674	BS15_AU_02b
60	Waveform 1	1	3799.410989664	3800.491495941	70.2	192.3	AU-BS02b_20151115_073730.wav	124.411	BS15_AU_02b
60	Spectrogram 1	1	3799.410989664	3800.491495941	70.2	192.3	AU-BS02b_20151115_073730.wav	124.411	BS15_AU_02b
62	Waveform 1	1	3943.050820906	3943.665226435	88.7	194.7	AU-BS02b_20151115_130730.wav	118.051	BS15_AU_02b
62	Spectrogram 1	1	3943.050820906	3943.665226435	88.7	194.7	AU-BS02b_20151115_130730.wav	118.051	BS15_AU_02b
64	Waveform 1	1	4005.345273594	4006.362220678	70.2	132.4	AU-BS02b_20151115_173000.wav	30.345	BS15_AU_02b
64	Spectrogram 1	1	4005.345273594	4006.362220678	70.2	132.4	AU-BS02b_20151115_173000.wav	30.345	BS15_AU_02b
65	Waveform 1	1	4041.697004415	4042.480901125	86.4	134.7	AU-BS02b_20151115_173000.wav	66.697	BS15_AU_02b
65	Spectrogram 1	1	4041.697004415	4042.480901125	86.4	134.7	AU-BS02b_20151115_173000.wav	66.697	BS15_AU_02b
66	Waveform 1	1	4070.052933860	4071.345304112	70.2	183.1	AU-BS02b_20151115_173000.wav	95.053	BS15_AU_02b
66	Spectrogram 1	1	4070.052933860	4071.345304112	70.2	183.1	AU-BS02b_20151115_173000.wav	95.053	BS15_AU_02b
67	Waveform 1	1	4115.209676581	4115.908827701	67.9	139.4	AU-BS02b_20151115_173000.wav	140.210	BS15_AU_02b
67	Spectrogram 1	1	4115.209676581	4115.908827701	67.9	139.4	AU-BS02b_20151115_173000.wav	140.210	BS15_AU_02b
68	Waveform 1	1	4215.794437430	4216.705452526	79.4	173.9	AU-BS02b_20151115_173345.wav	15.794	BS15_AU_02b
68	Spectrogram 1	1	4215.794437430	4216.705452526	79.4	173.9	AU-BS02b_20151115_173345.wav	15.794	BS15_AU_02b
69	Waveform 1	1	4262.908858218	4263.862246109	56.4	171.6	AU-BS02b_20151115_173345.wav	62.909	BS15_AU_02b
69	Spectrogram 1	1	4262.908858218	4263.862246109	56.4	171.6	AU-BS02b_20151115_173345.wav	62.909	BS15_AU_02b
70	Waveform 1	1	4301.180021728	4302.239341607	74.8	178.5	AU-BS02b_20151115_173345.wav	101.180	BS15_AU_02b
70	Spectrogram 1	1	4301.180021728	4302.239341607	74.8	178.5	AU-BS02b_20151115_173345.wav	101.180	BS15_AU_02b
71	Waveform 1	1	4317.777500519	4318.688515615	77.1	169.3	AU-BS02b_20151115_173345.wav	117.778	BS15_AU_02b
71	Spectrogram 1	1	4317.777500519	4318.688515615	77.1	169.3	AU-BS02b_20151115_173345.wav	117.778	BS15_AU_02b
72	Waveform 1	1	4357.319847883	4358.463913352	67.9	157.8	AU-BS02b_20151115_173345.wav	157.320	BS15_AU_02b
72	Spectrogram 1	1	4357.319847883	4358.463913352	67.9	157.8	AU-BS02b_20151115_173345.wav	157.320	BS15_AU_02b
73	Waveform 1	1	4450.531742376	4451.209707098	81.7	127.8	AU-BS02b_20151115_173730.wav	25.532	BS15_AU_02b
73	Spectrogram 1	1	4450.531742376	4451.209707098	81.7	127.8	AU-BS02b_20151115_173730.wav	25.532	BS15_AU_02b
74	Waveform 1	1	4452.798686917	4454.048684373	65.6	153.2	AU-BS02b_20151115_173730.wav	27.799	BS15_AU_02b
74	Spectrogram 1	1	4452.798686917	4454.048684373	65.6	153.2	AU-BS02b_20151115_173730.wav	27.799	BS15_AU_02b
75	Waveform 1	1	4472.785989320	4473.548699632	54.1	150.9	AU-BS02b_20151115_173730.wav	47.786	BS15_AU_02b
75	Spectrogram 1	1	4472.785989320	4473.548699632	54.1	150.9	AU-BS02b_20151115_173730.wav	47.786	BS15_AU_02b
76	Waveform 1	1	4492.574084654	4493.294422171	72.5	144.0	AU-BS02b_20151115_173730.wav	67.574	BS15_AU_02b
76	Spectrogram 1	1	4492.574084654	4493.294422171	72.5	144.0	AU-BS02b_20151115_173730.wav	67.574	BS15_AU_02b
77	Waveform 1	1	4515.188500356	4516.057142656	63.3	157.8	AU-BS02b_20151115_173730.wav	90.188	BS15_AU_02b
77	Spectrogram 1	1	4515.188500356	4516.057142656	63.3	157.8	AU-BS02b_20151115_173730.wav	90.188	BS15_AU_02b
78	Waveform 1	1	4542.633414705	4543.629175391	56.4	141.7	AU-BS02b_20151115_173730.wav	117.633	BS15_AU_02b
78	Spectrogram 1	1	4542.633414705	4543.629175391	56.4	141.7	AU-BS02b_20151115_173730.wav	117.633	BS15_AU_02b
79	Waveform 1	1	4604.904639249	4605.879213538	63.3	148.6	AU-BS02b_20151115_174000.wav	29.905	BS15_AU_02b
79	Spectrogram 1	1	4604.904639249	4605.879213538	63.3	148.6	AU-BS02b_20151115_174000.wav	29.905	BS15_AU_02b
80	Waveform 1	1	4858.264787663	4859.281734747	86.4	183.1	AU-BS02b_20151116_190345.wav	58.265	BS15_AU_02b
80	Spectrogram 1	1	4858.264787663	4859.281734747	86.4	183.1	AU-BS02b_20151116_190345.wav	58.265	BS15_AU_02b
81	Waveform 1	1	4901.472381807	4902.701192867	91.0	169.3	AU-BS02b_20151116_190345.wav	101.472	BS15_AU_02b
81	Spectrogram 1	1	4901.472381807	4902.701192867	91.0	169.3	AU-BS02b_20151116_190345.wav	101.472	BS15_AU_02b
82	Waveform 1	1	5027.510535633	5028.527482717	86.4	215.4	AU-BS02b_20151116_190730.wav	2.511	BS15_AU_02b
82	Spectrogram 1	1	5027.510535633	5028.527482717	86.4	215.4	AU-BS02b_20151116_190730.wav	2.511	BS15_AU_02b
83	Waveform 1	1	5415.752095152	5416.938533417	95.6	203.9	AU-BS02b_20151116_191345.wav	15.752	BS15_AU_02b
83	Spectrogram 1	1	5415.752095152	5416.938533417	95.6	203.9	AU-BS02b_20151116_191345.wav	15.752	BS15_AU_02b
84	Waveform 1	1	5501.942762558	5503.002082437	88.7	194.7	AU-BS02b_20151116_191345.wav	101.943	BS15_AU_02b
84	Spectrogram 1	1	5501.942762558	5503.002082437	88.7	194.7	AU-BS02b_20151116_191345.wav	101.943	BS15_AU_02b
85	Waveform 1	1	5531.506316665	5532.141908592	93.3	187.7	AU-BS02b_20151116_191345.wav	131.506	BS15_AU_02b
85	Spectrogram 1	1	5531.506316665	5532.141908592	93.3	187.7	AU-BS02b_20151116_191345.wav	131.506	BS15_AU_02b
86	Waveform 1	1	5635.353782740	5636.285984233	77.1	169.3	AU-BS02b_20151116_231000.wav	10.354	BS15_AU_02b
86	Spectrogram 1	1	5635.353782740	5636.285984233	77.1	169.3	AU-BS02b_20151116_231000.wav	10.354	BS15_AU_02b
87	Waveform 1	1	5670.595291396	5671.124951336	111.7	217.7	AU-BS02b_20151116_231000.wav	45.595	BS15_AU_02b
87	Spectrogram 1	1	5670.595291396	5671.124951336	111.7	217.7	AU-BS02b_20151116_231000.wav	45.595	BS15_AU_02b
88	Waveform 1	1	5738.832550566	5739.849497650	93.3	173.9	AU-BS02b_20151116_231000.wav	113.833	BS15_AU_02b
88	Spectrogram 1	1	5738.832550566	5739.849497650	93.3	173.9	AU-BS02b_20151116_231000.wav	113.833	BS15_AU_02b
89	Waveform 1	1	5768.362261368	5768.913107705	107.1	190.0	AU-BS02b_20151116_231000.wav	143.362	BS15_AU_02b
89	Spectrogram 1	1	5768.362261368	5768.913107705	107.1	190.0	AU-BS02b_20151116_231000.wav	143.362	BS15_AU_02b
92	Waveform 1	1	6209.836830570	6210.324117714	137.0	208.5	AU-BS02b_20151116_232345.wav	134.837	BS15_AU_02b
92	Spectrogram 1	1	6209.836830570	6210.324117714	137.0	208.5	AU-BS02b_20151116_232345.wav	134.837	BS15_AU_02b
93	Waveform 1	1	6281.930014098	6282.819842797	67.9	171.6	AU-BS02b_20151116_232345.wav	206.930	BS15_AU_02b
93	Spectrogram 1	1	6281.930014098	6282.819842797	67.9	171.6	AU-BS02b_20151116_232345.wav	206.930	BS15_AU_02b
94	Waveform 1	1	6630.993583464	6631.798666571	74.8	176.2	AU-BS02b_20151116_234000.wav	105.994	BS15_AU_02b
94	Spectrogram 1	1	6630.993583464	6631.798666571	74.8	176.2	AU-BS02b_20151116_234000.wav	105.994	BS15_AU_02b
95	Waveform 1	1	6827.841080057	6828.624976767	74.8	167.0	AU-BS02b_20151116_234345.wav	77.841	BS15_AU_02b
95	Spectrogram 1	1	6827.841080057	6828.624976767	74.8	167.0	AU-BS02b_20151116_234345.wav	77.841	BS15_AU_02b
96	Waveform 1	1	6872.552908429	6873.315618741	70.2	169.3	AU-BS02b_20151116_234345.wav	122.553	BS15_AU_02b
96	Spectrogram 1	1	6872.552908429	6873.315618741	70.2	169.3	AU-BS02b_20151116_234345.wav	122.553	BS15_AU_02b
97	Waveform 1	1	7009.226633837	7009.946971355	134.7	210.8	AU-BS02b_20151122_191345.wav	34.227	BS15_AU_02b
97	Spectrogram 1	1	7009.226633837	7009.946971355	134.7	210.8	AU-BS02b_20151122_191345.wav	34.227	BS15_AU_02b
98	Waveform 1	1	7090.531742376	7091.358011882	123.2	178.5	AU-BS02b_20151122_191345.wav	115.532	BS15_AU_02b
98	Spectrogram 1	1	7090.531742376	7091.358011882	123.2	178.5	AU-BS02b_20151122_191345.wav	115.532	BS15_AU_02b
99	Waveform 1	1	7131.345273594	7132.256288690	95.6	164.7	AU-BS02b_20151122_191345.wav	156.345	BS15_AU_02b
99	Spectrogram 1	1	7131.345273594	7132.256288690	95.6	164.7	AU-BS02b_20151122_191345.wav	156.345	BS15_AU_02b
100	Waveform 1	1	7145.739367038	7146.438518158	58.7	144.0	AU-BS02b_20151122_191345.wav	170.739	BS15_AU_02b
100	Spectrogram 1	1	7145.739367038	7146.438518158	58.7	144.0	AU-BS02b_20151122_191345.wav	170.739	BS15_AU_02b
101	Waveform 1	1	7158.620696763	7159.044424714	118.6	178.5	AU-BS02b_20151122_191345.wav	183.621	BS15_AU_02b
101	Spectrogram 1	1	7158.620696763	7159.044424714	118.6	178.5	AU-BS02b_20151122_191345.wav	183.621	BS15_AU_02b
102	Waveform 1	1	7185.790187943	7186.574084654	81.7	173.9	AU-BS02b_20151122_191345.wav	210.790	BS15_AU_02b
102	Spectrogram 1	1	7185.790187943	7186.574084654	81.7	173.9	AU-BS02b_20151122_191345.wav	210.790	BS15_AU_02b
103	Waveform 1	1	7263.400364332	7263.972397066	107.1	197.0	AU-BS02b_20151122_191730.wav	63.400	BS15_AU_02b
103	Spectrogram 1	1	7263.400364332	7263.972397066	107.1	197.0	AU-BS02b_20151122_191730.wav	63.400	BS15_AU_02b
104	Waveform 1	1	7290.527482717	7291.480870608	81.7	141.7	AU-BS02b_20151122_191730.wav	90.527	BS15_AU_02b
104	Spectrogram 1	1	7290.527482717	7291.480870608	81.7	141.7	AU-BS02b_20151122_191730.wav	90.527	BS15_AU_02b
105	Waveform 1	1	7314.095286310	7314.857996623	79.4	187.7	AU-BS02b_20151122_191730.wav	114.095	BS15_AU_02b
105	Spectrogram 1	1	7314.095286310	7314.857996623	79.4	187.7	AU-BS02b_20151122_191730.wav	114.095	BS15_AU_02b
106	Waveform 1	1	7334.273266291	7334.908858218	84.1	194.7	AU-BS02b_20151122_191730.wav	134.273	BS15_AU_02b
106	Spectrogram 1	1	7334.273266291	7334.908858218	84.1	194.7	AU-BS02b_20151122_191730.wav	134.273	BS15_AU_02b
107	Waveform 1	1	7421.141898419	7422.031727117	70.2	137.0	AU-BS02b_20151122_192730.wav	71.142	BS15_AU_02b
107	Spectrogram 1	1	7421.141898419	7422.031727117	70.2	137.0	AU-BS02b_20151122_192730.wav	71.142	BS15_AU_02b
108	Waveform 1	1	7434.413112791	7435.366500682	118.6	178.5	AU-BS02b_20151122_192730.wav	84.413	BS15_AU_02b
108	Spectrogram 1	1	7434.413112791	7435.366500682	118.6	178.5	AU-BS02b_20151122_192730.wav	84.413	BS15_AU_02b
109	Waveform 1	1	7448.226644010	7449.052913515	81.7	134.7	AU-BS02b_20151122_192730.wav	98.227	BS15_AU_02b
109	Spectrogram 1	1	7448.226644010	7449.052913515	81.7	134.7	AU-BS02b_20151122_192730.wav	98.227	BS15_AU_02b
110	Waveform 1	1	7516.663110248	7517.658870934	91.0	208.5	AU-BS02b_20151122_193730.wav	16.663	BS15_AU_02b
110	Spectrogram 1	1	7516.663110248	7517.658870934	91.0	208.5	AU-BS02b_20151122_193730.wav	16.663	BS15_AU_02b
111	Waveform 1	1	7521.430049702	7522.319878400	81.7	167.0	AU-BS02b_20151122_193730.wav	21.430	BS15_AU_02b
111	Spectrogram 1	1	7521.430049702	7522.319878400	81.7	167.0	AU-BS02b_20151122_193730.wav	21.430	BS15_AU_02b
